,Blocking_patent,Blocking_action,Blocked_app,Blocking_date,Final
0,7046910,102e,10578151,2011-08-09,0
1,7046910,103a,10578151,2011-08-09,0
2,7190956,103a,12866025,2014-12-19,0
3,7190956,103a,12866025,2014-04-30,1
4,5794185,103a,13008925,2011-11-01,0
5,5794185,103a,12035715,2011-08-15,0
6,8229428,119,13547133,2012-10-12,0
7,7555696,103a,11621919,2011-05-24,0
8,7373181,103a,12336526,2011-04-05,0
9,7373181,119,13647868,2013-08-15,0
10,7414990,103a,11955055,2011-06-21,0
11,5862451,103a,12470623,2011-10-25,1
15,5812527,102b,12436517,2011-05-03,1
16,7263365,103,11842543,2011-05-19,0
17,6466804,103a,13252096,2011-12-23,0
18,6466804,103a,10476522,2011-05-05,1
19,6466804,103a,12933760,2012-04-11,0
20,6466804,103a,12990205,2013-10-09,1
21,7729357,103a,11786969,2012-06-07,1
22,7876837,103a,12356184,2011-06-28,0
28,7876837,103a,12027794,2012-03-15,0
29,5910951,103a,11147396,2011-06-08,0
44,5910951,103a,11945840,2011-07-21,0
46,5910951,103a,11945840,2012-02-02,1
48,5946346,103a,12475966,2012-01-04,0
49,6970926,103,11696428,2011-11-02,1
50,6970926,103a,11696428,2011-02-18,0
51,6970926,103a,11696428,2012-05-11,0
52,6836676,103a,13523413,2012-08-03,0
53,5781226,103a,11400371,2012-09-20,1
54,5781226,103a,12711092,2012-07-31,0
55,5886736,103a,12311929,2011-10-27,0
56,5886736,102b,12759554,2012-07-30,0
57,5886736,103a,12759554,2012-07-30,0
62,5886736,103a,12747442,2012-08-17,1
64,5886736,102b,12747442,2012-04-19,0
65,5886736,103a,12747442,2012-04-19,0
67,5886736,103a,12759554,2013-03-29,1
73,6563427,103a,11331338,2011-10-17,1
74,6563427,103,11331338,2011-04-13,0
75,8140102,103a,12338573,2012-10-22,1
76,6925128,103a,12905809,2011-03-09,0
77,6925128,103,12905809,2011-08-23,1
78,6925128,103a,13351738,2012-11-29,1
79,6925128,103,13351738,2012-06-20,0
80,6063521,103a,13011752,2012-08-02,0
81,6063521,103a,13011752,2013-05-02,0
82,5848357,103a,11540286,2011-01-07,1
83,5848357,103a,11540286,2011-08-03,0
84,5848357,103a,12495207,2011-11-25,0
85,6421602,103a,12847659,2012-09-04,1
86,6421602,103a,12847659,2012-04-24,0
87,6366302,103a,11550053,2011-09-07,0
90,6366302,103a,12692498,2012-06-27,1
91,8037011,103a,12466880,2012-04-13,0
92,7983426,103a,12352323,2011-08-08,0
93,7266101,103a,12646718,2011-10-06,0
94,7729366,103a,11985512,2011-05-10,1
99,6857132,103a,10498466,2011-04-15,1
100,6857132,103a,11137606,2011-03-14,0
105,7257421,103a,13160622,2011-12-09,0
106,7257421,103a,13160622,2012-04-12,1
107,6597915,103a,11176512,2011-08-11,0
108,6597915,103a,11176512,2011-01-20,1
109,6597915,103a,11176512,2012-02-29,1
110,5922047,103a,11636998,2011-04-27,0
111,5922047,103a,11636998,2011-10-25,0
112,6965763,102e,11498011,2011-04-04,0
113,6965763,103a,11498011,2011-04-04,0
116,6965763,102e,11498011,2011-09-15,0
117,6965763,103a,11498011,2011-09-15,0
121,6965763,102b,12600055,2012-03-15,0
122,6965763,102e,11498011,2012-02-28,1
123,6965763,103a,11498011,2012-02-28,1
127,6965763,102b,12600055,2012-10-17,1
128,7769370,102,12466111,2011-11-09,1
129,7769370,103a,12466111,2011-11-09,1
133,5812956,103a,11985764,2011-03-21,0
134,6948183,103a,11959026,2011-12-22,0
135,6948183,103a,11959026,2011-05-18,1
140,6948183,103a,12824917,2012-06-08,0
142,6948183,103a,12824917,2012-11-30,1
144,5956641,103a,11844332,2011-01-21,0
145,5956641,103a,11588187,2011-03-01,0
146,5956641,103a,11588187,2011-08-05,1
147,5956641,103a,12684393,2012-04-02,0
148,7667371,103a,12715278,2012-05-08,0
149,7667371,103a,12715278,2012-10-19,1
150,7139328,103a,12383143,2011-11-18,1
151,7139328,103a,11777671,2011-12-21,1
152,7139328,103a,11382346,2011-11-08,1
153,7139328,103,11382346,2011-05-25,0
154,7139328,103a,11777671,2011-08-15,0
155,7139328,103a,11777671,2011-02-04,1
156,7139328,102e,12581218,2012-01-20,0
157,7139328,103a,13132896,2013-03-26,0
158,6345307,103a,12352997,2011-02-14,0
159,7676250,103a,11948232,2011-07-20,0
160,7676250,103a,11948232,2011-12-30,1
161,7676250,103a,11948232,2012-01-20,1
162,7103782,112,11957721,2011-08-15,1
163,6269336,103a,11765900,2011-04-28,1
167,6269336,103a,11893676,2011-01-06,0
168,6269336,103a,10404093,2011-05-06,0
169,6269336,103a,11268422,2011-03-09,0
170,6269336,103a,11952713,2011-09-21,0
171,6269336,103a,10404093,2011-10-18,1
174,6269336,103a,11952713,2012-01-25,1
175,6269336,103a,13467673,2012-07-06,0
176,7853475,103a,12387096,2011-11-25,1
177,7853475,103a,12387096,2011-06-07,0
178,7873893,112,12191939,2011-10-12,0
179,7873893,103a,12705460,2012-09-17,0
180,5857173,103a,11999839,2011-05-13,0
181,5857173,103a,11999839,2011-11-08,1
182,6304763,102b,12391932,2011-06-07,0
183,5832026,103a,12855483,2012-03-21,0
184,6078571,102b,12567298,2011-10-11,0
185,6078571,103a,12396448,2012-09-25,1
186,7551738,102e,13043658,2013-04-25,0
187,6349216,102b,11973951,2011-01-24,0
188,6349216,102b,11973951,2011-07-20,1
189,6349216,102b,13558248,2012-12-21,0
190,6349216,119,13325895,2012-09-28,0
191,6965754,102b,12486664,2012-08-07,1
192,6965754,103a,12471046,2012-11-23,0
198,6965754,102b,13933076,2014-09-16,0
199,6493198,103a,11720225,2011-05-06,0
200,6493198,103a,11720225,2011-01-07,1
201,6493198,103a,12303465,2011-09-21,0
202,6493198,103a,11720225,2011-09-23,1
203,6157545,103a,13079426,2011-07-06,0
204,6936361,102,12498742,2012-02-15,0
205,7764644,102e,12100339,2011-12-15,0
206,7519042,103a,11093323,2011-06-09,0
207,7519042,103a,11093323,2011-09-15,0
208,7519042,103a,11093323,2011-02-16,0
209,7519042,103a,11093323,2012-04-10,1
210,6319631,103a,12685463,2011-06-01,1
211,6525677,103a,12186605,2011-02-10,0
213,6829475,103a,11929744,2011-06-22,0
214,6175588,103a,12162818,2011-10-27,1
216,6175588,103a,12162818,2011-06-22,0
218,6175588,102e,12350279,2011-06-08,0
219,6175588,103a,11856678,2011-03-31,0
223,6175588,103a,11962040,2011-04-29,1
227,6175588,103a,11848664,2012-04-12,0
228,6175588,103a,11848664,2012-10-03,1
229,6175588,103a,12162818,2012-03-07,0
231,6175588,103a,12955722,2012-09-12,1
232,6175588,103a,11640994,2012-08-02,0
233,6175588,103a,11640994,2012-11-06,1
234,6175588,103a,11848664,2013-08-13,0
235,6018671,103a,12081141,2011-11-08,0
236,6018671,102b,11558155,2011-01-10,0
237,6018671,103a,12081141,2011-05-10,1
238,5805095,103a,11819939,2011-01-20,1
239,6987738,102e,13302525,2012-02-08,0
240,6697637,103a,12678885,2012-03-23,0
241,5732387,103a,12044713,2011-03-17,0
248,6662010,103a,13042824,2011-08-23,0
250,6757337,103a,12043348,2011-10-18,0
252,7373013,112,11863393,2011-02-03,0
253,6944455,103,11750045,2011-10-26,1
254,6944455,103a,11750045,2011-04-29,0
255,6756938,102b,12034012,2011-04-06,1
256,6756938,103a,12034012,2012-06-01,0
258,6756938,103a,12034012,2012-08-01,1
261,6671852,103a,12852368,2012-12-19,0
262,6671852,103a,12852397,2012-10-09,0
263,6822611,102b,12738764,2012-12-26,0
264,5958006,103a,09782412,2011-03-16,0
267,5958006,103a,09782107,2011-10-31,1
269,5958006,103a,09782107,2011-03-17,1
270,5958006,102e,11925770,2011-02-23,1
271,5958006,103a,13043903,2011-11-23,0
274,5958006,102b,13020322,2011-04-05,0
275,5958006,103a,09782412,2011-08-24,1
281,5958006,103a,13043903,2012-04-02,1
285,5958006,103a,13359586,2012-06-20,0
289,5958006,102b,13346759,2012-04-13,0
290,5958006,103a,13359586,2012-10-23,1
294,5958006,102b,13346759,2012-06-22,1
295,5958006,103a,13359586,2013-06-13,0
334,6617075,103a,11338709,2011-10-06,0
335,7138979,103a,11825993,2011-07-18,0
338,6564047,103a,12163631,2011-04-04,0
339,6564047,103a,11686342,2011-05-24,0
340,7013143,103a,11118063,2011-07-15,1
342,7013143,103a,11118063,2011-02-03,0
344,7013143,103a,10941266,2011-01-05,0
345,7013143,103,11176579,2011-08-22,1
346,7013143,103a,11176579,2011-03-03,0
347,7013143,103a,10941266,2011-06-16,1
348,7013143,103a,13527279,2012-11-21,0
349,5987021,103a,11870181,2011-01-04,0
350,6532593,103a,11250086,2011-03-03,1
351,6532593,103,11898996,2011-12-05,0
352,6532593,103a,11250086,2011-06-27,0
353,6532593,103a,11060224,2011-03-15,1
354,6532593,119a,12951536,2012-12-07,1
355,6532593,103a,12850121,2012-09-17,0
356,8018893,102e,12951149,2012-09-12,0
357,8018893,103a,12951149,2012-09-12,0
358,8018893,102,13003618,2012-12-21,0
359,8018893,103a,12739713,2012-08-24,0
360,8018893,103a,12429340,2013-07-11,0
361,6138042,103,12183156,2011-12-22,1
362,6138042,103a,12183156,2011-12-22,1
363,6138042,103a,12183156,2011-05-20,0
364,7778653,102e,13162318,2012-01-12,0
365,6219840,103a,10881979,2011-06-21,1
366,6484033,103a,11930362,2011-01-03,1
367,6484033,103a,12142207,2011-03-02,0
368,6484033,103a,12142207,2011-08-19,1
369,7209717,103a,12477862,2011-08-25,0
370,7209717,103a,12477862,2011-12-29,1
371,7944484,103a,12381422,2011-09-22,0
372,7944484,103a,12322822,2012-02-03,1
373,6882709,103a,11853591,2011-12-15,1
374,6882709,103a,10974497,2011-09-13,1
375,6882709,103a,11698372,2011-05-16,0
380,6882709,103a,11586482,2011-03-02,1
382,6882709,103a,11780760,2011-04-14,0
383,6882709,103a,11853591,2011-06-20,0
384,6882709,103a,11780788,2011-07-18,0
385,6882709,103a,11853591,2011-02-10,1
386,6882709,103a,11651092,2011-08-29,0
387,6882709,103a,11780748,2011-09-13,1
388,6882709,103a,11780748,2011-04-13,0
389,6882709,103a,10974497,2011-04-25,0
390,6882709,119,12844165,2012-10-12,0
391,6882709,103a,12844165,2012-10-12,0
394,6882709,103a,12844165,2012-05-09,0
400,6882709,103a,11651092,2012-03-13,1
401,6882709,119,12844165,2012-07-31,1
402,6882709,103a,12844165,2012-07-31,1
408,6882709,103a,12190406,2012-05-10,0
415,6882709,103a,12830585,2012-11-19,0
418,6882709,102b,12844165,2013-01-15,1
419,6882709,103a,12844165,2013-01-15,1
422,6882709,103a,12830585,2013-03-11,1
425,6307846,102b,11050357,2011-07-13,1
426,6307846,103a,11856788,2011-01-05,0
427,6307846,103a,11765994,2011-03-25,1
429,6307846,103a,12197428,2011-08-24,0
430,6307846,102b,11050357,2011-01-20,0
431,6307846,103a,11681156,2011-12-28,0
432,6307846,102b,11050357,2012-04-12,0
433,6307846,103a,11050357,2012-04-12,0
434,6307846,103a,13051659,2012-11-13,1
435,6307846,103a,11681156,2012-06-21,1
436,6307846,103a,13051659,2012-05-24,0
437,6307846,119,11050357,2012-10-25,1
438,6307846,102b,11050357,2012-10-25,1
439,6307846,103a,11050357,2012-10-25,1
440,5656917,112,13357137,2013-05-09,0
441,6876543,103a,12360750,2011-06-28,0
443,5991447,103a,12087488,2011-10-06,0
444,5991447,103a,10588404,2011-05-24,0
445,5991447,103a,10588404,2011-09-13,1
446,7042879,103,12030284,2011-04-19,1
447,6968158,103a,11957595,2011-03-23,0
448,7108914,103a,12044654,2011-07-11,0
449,7108914,103a,12595905,2011-05-18,0
450,6044158,103,11459193,2011-02-18,0
451,6223035,103a,12159377,2011-06-23,0
452,7567239,102e,12061368,2011-02-03,0
453,6791995,103,11586383,2011-04-28,0
455,6791995,103a,12499450,2011-04-04,1
456,7020198,103a,11959937,2011-08-18,0
457,5661635,103a,13304554,2012-05-30,0
458,5661635,103,13304554,2012-05-30,0
459,5966671,103a,11519049,2011-03-17,0
460,6321073,103a,11131147,2011-01-20,0
461,6321073,103a,11862330,2011-06-20,1
462,6321073,103a,11862330,2011-01-28,0
463,6321073,103a,11131147,2011-05-26,0
465,6321073,103a,11376502,2011-09-30,1
467,6321073,103a,11131147,2011-10-18,1
469,6321073,103a,11376502,2012-05-02,0
472,6321073,103a,11376502,2012-10-22,0
474,6321073,119,11373612,2012-06-22,0
475,6321073,103a,11862330,2012-04-11,0
476,7095403,103a,12391564,2012-05-02,0
477,6901122,103,13001194,2012-05-14,0
478,6901122,103,13001598,2012-05-22,0
479,6901122,103,13001269,2012-05-11,0
480,5781547,102b,11929580,2011-04-26,1
481,5781547,103a,11929580,2011-04-26,1
