pub_year,blocking_month,count
1997,2011-01-01,0
1998,2011-01-01,19
1999,2011-01-01,20
2000,2011-01-01,33
2001,2011-01-01,24
2002,2011-01-01,20
2003,2011-01-01,23
2004,2011-01-01,24
2005,2011-01-01,24
2006,2011-01-01,33
2007,2011-01-01,10
2008,2011-01-01,4
2009,2011-01-01,9
2010,2011-01-01,6
2011,2011-01-01,0
2012,2011-01-01,0
2013,2011-01-01,0
2014,2011-01-01,0
1997,2011-02-01,4
1998,2011-02-01,16
1999,2011-02-01,27
2000,2011-02-01,24
2001,2011-02-01,19
2002,2011-02-01,26
2003,2011-02-01,19
2004,2011-02-01,23
2005,2011-02-01,14
2006,2011-02-01,24
2007,2011-02-01,26
2008,2011-02-01,7
2009,2011-02-01,10
2010,2011-02-01,15
2011,2011-02-01,0
2012,2011-02-01,0
2013,2011-02-01,0
2014,2011-02-01,0
1997,2011-03-01,0
1998,2011-03-01,31
1999,2011-03-01,30
2000,2011-03-01,34
2001,2011-03-01,24
2002,2011-03-01,18
2003,2011-03-01,50
2004,2011-03-01,29
2005,2011-03-01,31
2006,2011-03-01,18
2007,2011-03-01,21
2008,2011-03-01,17
2009,2011-03-01,11
2010,2011-03-01,16
2011,2011-03-01,0
2012,2011-03-01,0
2013,2011-03-01,0
2014,2011-03-01,0
1997,2011-04-01,3
1998,2011-04-01,9
1999,2011-04-01,21
2000,2011-04-01,21
2001,2011-04-01,30
2002,2011-04-01,7
2003,2011-04-01,10
2004,2011-04-01,18
2005,2011-04-01,25
2006,2011-04-01,17
2007,2011-04-01,14
2008,2011-04-01,6
2009,2011-04-01,7
2010,2011-04-01,10
2011,2011-04-01,1
2012,2011-04-01,0
2013,2011-04-01,0
2014,2011-04-01,0
1997,2011-05-01,4
1998,2011-05-01,10
1999,2011-05-01,21
2000,2011-05-01,17
2001,2011-05-01,27
2002,2011-05-01,17
2003,2011-05-01,15
2004,2011-05-01,10
2005,2011-05-01,21
2006,2011-05-01,23
2007,2011-05-01,20
2008,2011-05-01,2
2009,2011-05-01,11
2010,2011-05-01,11
2011,2011-05-01,2
2012,2011-05-01,0
2013,2011-05-01,0
2014,2011-05-01,0
1997,2011-06-01,0
1998,2011-06-01,3
1999,2011-06-01,45
2000,2011-06-01,26
2001,2011-06-01,33
2002,2011-06-01,18
2003,2011-06-01,18
2004,2011-06-01,19
2005,2011-06-01,15
2006,2011-06-01,23
2007,2011-06-01,18
2008,2011-06-01,3
2009,2011-06-01,10
2010,2011-06-01,15
2011,2011-06-01,9
2012,2011-06-01,0
2013,2011-06-01,0
2014,2011-06-01,0
1997,2011-07-01,1
1998,2011-07-01,9
1999,2011-07-01,22
2000,2011-07-01,23
2001,2011-07-01,21
2002,2011-07-01,12
2003,2011-07-01,29
2004,2011-07-01,25
2005,2011-07-01,8
2006,2011-07-01,16
2007,2011-07-01,14
2008,2011-07-01,5
2009,2011-07-01,5
2010,2011-07-01,12
2011,2011-07-01,2
2012,2011-07-01,0
2013,2011-07-01,0
2014,2011-07-01,0
1997,2011-08-01,0
1998,2011-08-01,19
1999,2011-08-01,27
2000,2011-08-01,17
2001,2011-08-01,16
2002,2011-08-01,18
2003,2011-08-01,28
2004,2011-08-01,27
2005,2011-08-01,22
2006,2011-08-01,13
2007,2011-08-01,9
2008,2011-08-01,6
2009,2011-08-01,4
2010,2011-08-01,3
2011,2011-08-01,2
2012,2011-08-01,0
2013,2011-08-01,0
2014,2011-08-01,0
1997,2011-09-01,13
1998,2011-09-01,10
1999,2011-09-01,16
2000,2011-09-01,26
2001,2011-09-01,10
2002,2011-09-01,23
2003,2011-09-01,12
2004,2011-09-01,22
2005,2011-09-01,25
2006,2011-09-01,8
2007,2011-09-01,6
2008,2011-09-01,1
2009,2011-09-01,7
2010,2011-09-01,5
2011,2011-09-01,5
2012,2011-09-01,0
2013,2011-09-01,0
2014,2011-09-01,0
1997,2011-10-01,2
1998,2011-10-01,12
1999,2011-10-01,35
2000,2011-10-01,21
2001,2011-10-01,26
2002,2011-10-01,16
2003,2011-10-01,20
2004,2011-10-01,16
2005,2011-10-01,15
2006,2011-10-01,29
2007,2011-10-01,15
2008,2011-10-01,9
2009,2011-10-01,11
2010,2011-10-01,23
2011,2011-10-01,5
2012,2011-10-01,0
2013,2011-10-01,0
2014,2011-10-01,0
1997,2011-11-01,1
1998,2011-11-01,21
1999,2011-11-01,18
2000,2011-11-01,38
2001,2011-11-01,8
2002,2011-11-01,12
2003,2011-11-01,22
2004,2011-11-01,14
2005,2011-11-01,6
2006,2011-11-01,14
2007,2011-11-01,16
2008,2011-11-01,0
2009,2011-11-01,5
2010,2011-11-01,11
2011,2011-11-01,0
2012,2011-11-01,0
2013,2011-11-01,0
2014,2011-11-01,0
1997,2011-12-01,2
