"","pub_year","cit_month","count"
"1","1994",2011-01-01,0
"2","1996",2011-01-01,0
"3","1997",2011-01-01,15
"4","1998",2011-01-01,42
"5","1999",2011-01-01,92
"6","2000",2011-01-01,90
"7","2001",2011-01-01,78
"8","2002",2011-01-01,79
"9","2003",2011-01-01,55
"10","2004",2011-01-01,58
"11","2005",2011-01-01,47
"12","2006",2011-01-01,57
"13","2007",2011-01-01,28
"14","2008",2011-01-01,9
"15","2009",2011-01-01,14
"16","2010",2011-01-01,8
"17","2011",2011-01-01,0
"18","2012",2011-01-01,0
"19","2013",2011-01-01,0
"20","2014",2011-01-01,0
"21","1994",2011-02-01,0
"22","1996",2011-02-01,0
"23","1997",2011-02-01,12
"24","1998",2011-02-01,105
"25","1999",2011-02-01,125
"26","2000",2011-02-01,105
"27","2001",2011-02-01,99
"28","2002",2011-02-01,87
"29","2003",2011-02-01,71
"30","2004",2011-02-01,79
"31","2005",2011-02-01,75
"32","2006",2011-02-01,62
"33","2007",2011-02-01,36
"34","2008",2011-02-01,22
"35","2009",2011-02-01,15
"36","2010",2011-02-01,1
"37","2011",2011-02-01,0
"38","2012",2011-02-01,0
"39","2013",2011-02-01,0
"40","2014",2011-02-01,0
"41","1994",2011-03-01,0
"42","1996",2011-03-01,1
"43","1997",2011-03-01,12
"44","1998",2011-03-01,97
"45","1999",2011-03-01,144
"46","2000",2011-03-01,155
"47","2001",2011-03-01,112
"48","2002",2011-03-01,97
"49","2003",2011-03-01,111
"50","2004",2011-03-01,93
"51","2005",2011-03-01,95
"52","2006",2011-03-01,73
"53","2007",2011-03-01,47
"54","2008",2011-03-01,23
"55","2009",2011-03-01,12
"56","2010",2011-03-01,9
"57","2011",2011-03-01,0
"58","2012",2011-03-01,0
"59","2013",2011-03-01,0
"60","2014",2011-03-01,0
"61","1994",2011-04-01,0
"62","1996",2011-04-01,0
"63","1997",2011-04-01,17
"64","1998",2011-04-01,98
"65","1999",2011-04-01,96
"66","2000",2011-04-01,121
"67","2001",2011-04-01,104
"68","2002",2011-04-01,80
"69","2003",2011-04-01,60
"70","2004",2011-04-01,66
"71","2005",2011-04-01,77
"72","2006",2011-04-01,69
"73","2007",2011-04-01,31
"74","2008",2011-04-01,17
"75","2009",2011-04-01,10
"76","2010",2011-04-01,5
"77","2011",2011-04-01,0
"78","2012",2011-04-01,0
"79","2013",2011-04-01,0
"80","2014",2011-04-01,0
"81","1994",2011-05-01,0
"82","1996",2011-05-01,0
"83","1997",2011-05-01,12
"84","1998",2011-05-01,91
"85","1999",2011-05-01,132
"86","2000",2011-05-01,135
"87","2001",2011-05-01,89
"88","2002",2011-05-01,93
"89","2003",2011-05-01,80
"90","2004",2011-05-01,82
"91","2005",2011-05-01,66
"92","2006",2011-05-01,44
"93","2007",2011-05-01,30
"94","2008",2011-05-01,16
"95","2009",2011-05-01,9
"96","2010",2011-05-01,10
"97","2011",2011-05-01,0
"98","2012",2011-05-01,0
"99","2013",2011-05-01,0
"100","2014",2011-05-01,0
"101","1994",2011-06-01,0
"102","1996",2011-06-01,0
"103","1997",2011-06-01,15
"104","1998",2011-06-01,66
"105","1999",2011-06-01,91
"106","2000",2011-06-01,110
"107","2001",2011-06-01,93
"108","2002",2011-06-01,57
"109","2003",2011-06-01,67
"110","2004",2011-06-01,70
"111","2005",2011-06-01,58
"112","2006",2011-06-01,57
"113","2007",2011-06-01,32
"114","2008",2011-06-01,20
"115","2009",2011-06-01,12
"116","2010",2011-06-01,4
"117","2011",2011-06-01,0
"118","2012",2011-06-01,0
"119","2013",2011-06-01,0
"120","2014",2011-06-01,0
"121","1994",2011-07-01,0
"122","1996",2011-07-01,0
"123","1997",2011-07-01,8
"124","1998",2011-07-01,39
"125","1999",2011-07-01,78
"126","2000",2011-07-01,102
"127","2001",2011-07-01,65
"128","2002",2011-07-01,66
"129","2003",2011-07-01,40
"130","2004",2011-07-01,44
"131","2005",2011-07-01,52
"132","2006",2011-07-01,50
"133","2007",2011-07-01,38
"134","2008",2011-07-01,15
"135","2009",2011-07-01,18
"136","2010",2011-07-01,4
"137","2011",2011-07-01,1
"138","2012",2011-07-01,0
"139","2013",2011-07-01,0
"140","2014",2011-07-01,0
"141","1994",2011-08-01,0
"142","1996",2011-08-01,0
"143","1997",2011-08-01,22
"144","1998",2011-08-01,114
"145","1999",2011-08-01,134
"146","2000",2011-08-01,160
"147","2001",2011-08-01,114
"148","2002",2011-08-01,92
"149","2003",2011-08-01,93
"150","2004",2011-08-01,74
"151","2005",2011-08-01,78
"152","2006",2011-08-01,78
"153","2007",2011-08-01,43
"154","2008",2011-08-01,18
"155","2009",2011-08-01,15
"156","2010",2011-08-01,6
"157","2011",2011-08-01,1
"158","2012",2011-08-01,0
"159","2013",2011-08-01,0
"160","2014",2011-08-01,0
"161","1994",2011-09-01,0
"162","1996",2011-09-01,1
"163","1997",2011-09-01,18
"164","1998",2011-09-01,91
"165","1999",2011-09-01,115
"166","2000",2011-09-01,122
"167","2001",2011-09-01,89
"168","2002",2011-09-01,83
"169","2003",2011-09-01,69
"170","2004",2011-09-01,49
"171","2005",2011-09-01,65
"172","2006",2011-09-01,65
"173","2007",2011-09-01,34
"174","2008",2011-09-01,9
"175","2009",2011-09-01,16
"176","2010",2011-09-01,10
"177","2011",2011-09-01,0
"178","2012",2011-09-01,0
"179","2013",2011-09-01,0
"180","2014",2011-09-01,0
"181","1994",2011-10-01,0
"182","1996",2011-10-01,0
"183","1997",2011-10-01,15
"184","1998",2011-10-01,78
"185","1999",2011-10-01,109
"186","2000",2011-10-01,140
"187","2001",2011-10-01,79
"188","2002",2011-10-01,78
"189","2003",2011-10-01,68
"190","2004",2011-10-01,88
"191","2005",2011-10-01,86
"192","2006",2011-10-01,63
"193","2007",2011-10-01,38
"194","2008",2011-10-01,19
"195","2009",2011-10-01,18
"196","2010",2011-10-01,9
"197","2011",2011-10-01,1
"198","2012",2011-10-01,0
"199","2013",2011-10-01,0
"200","2014",2011-10-01,0
"201","1994",2011-11-01,0
"202","1996",2011-11-01,0
"203","1997",2011-11-01,17
"204","1998",2011-11-01,108
"205","1999",2011-11-01,167
"206","2000",2011-11-01,180
"207","2001",2011-11-01,97
"208","2002",2011-11-01,93
"209","2003",2011-11-01,107
"210","2004",2011-11-01,124
"211","2005",2011-11-01,72
"212","2006",2011-11-01,90
"213","2007",2011-11-01,50
"214","2008",2011-11-01,28
"215","2009",2011-11-01,25
"216","2010",2011-11-01,17
"217","2011",2011-11-01,4
"218","2012",2011-11-01,0
"219","2013",2011-11-01,0
"220","2014",2011-11-01,0
"221","1994",2011-12-01,0
"222","1996",2011-12-01,0
"223","1997",2011-12-01,13
"224","1998",2011-12-01,69
"225","1999",2011-12-01,105
"226","2000",2011-12-01,110
"227","2001",2011-12-01,95
"228","2002",2011-12-01,80
"229","2003",2011-12-01,53
"230","2004",2011-12-01,60
"231","2005",2011-12-01,60
"232","2006",2011-12-01,69
"233","2007",2011-12-01,32
"234","2008",2011-12-01,22
"235","2009",2011-12-01,12
"236","2010",2011-12-01,8
"237","2011",2011-12-01,7
"238","2012",2011-12-01,0
"239","2013",2011-12-01,0
"240","2014",2011-12-01,0
"241","1994",2012-01-01,0
"242","1996",2012-01-01,1
"243","1997",2012-01-01,22
"244","1998",2012-01-01,83
"245","1999",2012-01-01,129
"246","2000",2012-01-01,119
"247","2001",2012-01-01,133
"248","2002",2012-01-01,81
"249","2003",2012-01-01,90
"250","2004",2012-01-01,96
"251","2005",2012-01-01,94
"252","2006",2012-01-01,106
"253","2007",2012-01-01,44
"254","2008",2012-01-01,31
"255","2009",2012-01-01,24
"256","2010",2012-01-01,9
"257","2011",2012-01-01,8
"258","2012",2012-01-01,0
"259","2013",2012-01-01,0
"260","2014",2012-01-01,0
"261","1994",2012-02-01,0
"262","1996",2012-02-01,0
"263","1997",2012-02-01,16
"264","1998",2012-02-01,55
"265","1999",2012-02-01,93
"266","2000",2012-02-01,86
"267","2001",2012-02-01,84
"268","2002",2012-02-01,74
"269","2003",2012-02-01,71
"270","2004",2012-02-01,92
"271","2005",2012-02-01,75
"272","2006",2012-02-01,67
"273","2007",2012-02-01,38
"274","2008",2012-02-01,14
"275","2009",2012-02-01,23
"276","2010",2012-02-01,13
"277","2011",2012-02-01,8
"278","2012",2012-02-01,0
"279","2013",2012-02-01,0
"280","2014",2012-02-01,0
"281","1994",2012-03-01,0
"282","1996",2012-03-01,0
"283","1997",2012-03-01,8
"284","1998",2012-03-01,33
"285","1999",2012-03-01,113
"286","2000",2012-03-01,109
"287","2001",2012-03-01,84
"288","2002",2012-03-01,55
"289","2003",2012-03-01,58
"290","2004",2012-03-01,57
"291","2005",2012-03-01,58
"292","2006",2012-03-01,73
"293","2007",2012-03-01,43
"294","2008",2012-03-01,17
"295","2009",2012-03-01,15
"296","2010",2012-03-01,13
"297","2011",2012-03-01,8
"298","2012",2012-03-01,0
"299","2013",2012-03-01,0
"300","2014",2012-03-01,0
"301","1994",2012-04-01,0
