pub_year,CitMonth,count
1994,2011-01,0
1994,2011-02,0
1994,2011-03,0
1994,2011-04,0
1994,2011-05,0
1994,2011-06,0
1994,2011-07,0
1994,2011-08,0
1994,2011-09,0
1994,2011-10,0
1994,2011-11,0
1994,2011-12,0
1994,2012-01,0
1994,2012-02,0
1994,2012-03,0
1994,2012-04,0
1994,2012-05,0
1994,2012-06,0
1994,2012-07,0
1994,2012-08,0
1994,2012-09,0
1994,2012-10,0
1994,2012-11,0
1994,2012-12,0
1994,2013-01,0
1994,2013-02,0
1994,2013-03,0
1994,2013-04,0
1994,2013-05,0
1994,2013-06,0
1994,2013-07,0
1994,2013-08,0
1994,2013-09,0
1994,2013-10,0
1994,2013-11,0
1994,2013-12,0
1994,2014-01,0
1994,2014-02,0
1994,2014-03,0
1994,2014-04,1
1994,2014-05,0
1994,2014-06,0
1994,2014-07,0
1994,2014-08,0
1994,2014-09,0
1994,2014-10,0
1994,2014-11,0
1994,2014-12,0
1995,2011-01,0
1995,2011-02,0
1995,2011-03,0
1995,2011-04,0
1995,2011-05,0
1995,2011-06,0
1995,2011-07,0
1995,2011-08,0
1995,2011-09,0
1995,2011-10,0
1995,2011-11,0
1995,2011-12,0
1995,2012-01,0
1995,2012-02,0
1995,2012-03,0
1995,2012-04,0
1995,2012-05,0
1995,2012-06,0
1995,2012-07,0
1995,2012-08,0
1995,2012-09,0
1995,2012-10,0
1995,2012-11,0
1995,2012-12,0
1995,2013-01,0
1995,2013-02,0
1995,2013-03,0
1995,2013-04,0
1995,2013-05,0
1995,2013-06,0
1995,2013-07,0
1995,2013-08,0
1995,2013-09,0
1995,2013-10,0
1995,2013-11,0
1995,2013-12,0
1995,2014-01,0
1995,2014-02,0
1995,2014-03,0
1995,2014-04,0
1995,2014-05,0
1995,2014-06,0
1995,2014-07,0
1995,2014-08,0
1995,2014-09,0
1995,2014-10,0
1995,2014-11,0
1995,2014-12,0
1996,2011-01,0
1996,2011-02,0
1996,2011-03,1
1996,2011-04,0
1996,2011-05,0
1996,2011-06,0
1996,2011-07,0
1996,2011-08,0
1996,2011-09,1
1996,2011-10,0
1996,2011-11,0
1996,2011-12,0
1996,2012-01,1
1996,2012-02,0
1996,2012-03,0
1996,2012-04,0
1996,2012-05,0
1996,2012-06,0
1996,2012-07,2
1996,2012-08,0
1996,2012-09,0
1996,2012-10,0
1996,2012-11,0
1996,2012-12,1
1996,2013-01,0
1996,2013-02,0
1996,2013-03,0
1996,2013-04,0
1996,2013-05,0
1996,2013-06,0
1996,2013-07,0
1996,2013-08,0
1996,2013-09,0
1996,2013-10,0
1996,2013-11,0
1996,2013-12,0
1996,2014-01,0
1996,2014-02,0
1996,2014-03,0
1996,2014-04,1
1996,2014-05,1
1996,2014-06,0
1996,2014-07,2
1996,2014-08,0
1996,2014-09,0
1996,2014-10,1
1996,2014-11,0
1996,2014-12,0
1997,2011-01,15
1997,2011-02,12
1997,2011-03,12
1997,2011-04,17
1997,2011-05,12
1997,2011-06,15
1997,2011-07,8
1997,2011-08,22
1997,2011-09,18
1997,2011-10,15
1997,2011-11,17
1997,2011-12,13
1997,2012-01,22
1997,2012-02,16
1997,2012-03,8
1997,2012-04,12
1997,2012-05,14
1997,2012-06,9
1997,2012-07,21
1997,2012-08,10
1997,2012-09,15
1997,2012-10,17
1997,2012-11,10
1997,2012-12,8
1997,2013-01,15
1997,2013-02,10
1997,2013-03,11
1997,2013-04,13
1997,2013-05,17
1997,2013-06,12
1997,2013-07,14
1997,2013-08,15
1997,2013-09,12
1997,2013-10,22
1997,2013-11,18
1997,2013-12,12
1997,2014-01,17
1997,2014-02,4
1997,2014-03,6
1997,2014-04,15
1997,2014-05,13
1997,2014-06,5
1997,2014-07,13
1997,2014-08,9
1997,2014-09,10
1997,2014-10,8
1997,2014-11,7
1997,2014-12,10
1998,2011-01,42
1998,2011-02,105
1998,2011-03,97
1998,2011-04,98
1998,2011-05,91
1998,2011-06,66
1998,2011-07,39
1998,2011-08,114
1998,2011-09,91
1998,2011-10,78
1998,2011-11,108
1998,2011-12,69
1998,2012-01,83
1998,2012-02,55
1998,2012-03,33
1998,2012-04,69
1998,2012-05,100
1998,2012-06,44
1998,2012-07,103
1998,2012-08,63
1998,2012-09,72
1998,2012-10,75
1998,2012-11,71
1998,2012-12,60
1998,2013-01,74
1998,2013-02,72
1998,2013-03,74
1998,2013-04,91
1998,2013-05,65
1998,2013-06,58
1998,2013-07,87
1998,2013-08,85
1998,2013-09,79
1998,2013-10,111
1998,2013-11,74
1998,2013-12,91
1998,2014-01,64
1998,2014-02,62
1998,2014-03,65
1998,2014-04,119
1998,2014-05,79
1998,2014-06,73
1998,2014-07,85
1998,2014-08,79
1998,2014-09,72
1998,2014-10,70
1998,2014-11,59
1998,2014-12,82
1999,2011-01,92
1999,2011-02,125
1999,2011-03,144
1999,2011-04,96
1999,2011-05,132
1999,2011-06,91
1999,2011-07,78
1999,2011-08,134
1999,2011-09,115
1999,2011-10,109
1999,2011-11,167
1999,2011-12,105
1999,2012-01,129
1999,2012-02,93
1999,2012-03,113
1999,2012-04,108
1999,2012-05,161
1999,2012-06,111
1999,2012-07,154
1999,2012-08,129
1999,2012-09,134
1999,2012-10,114
1999,2012-11,86
1999,2012-12,100
1999,2013-01,138
1999,2013-02,117
1999,2013-03,92
1999,2013-04,115
1999,2013-05,107
1999,2013-06,93
1999,2013-07,122
1999,2013-08,107
1999,2013-09,141
1999,2013-10,159
1999,2013-11,140
1999,2013-12,116
1999,2014-01,142
1999,2014-02,105
1999,2014-03,130
1999,2014-04,210
1999,2014-05,112
1999,2014-06,134
1999,2014-07,166
1999,2014-08,138
1999,2014-09,117
1999,2014-10,126
1999,2014-11,123
1999,2014-12,137
2000,2011-01,90
2000,2011-02,105
2000,2011-03,155
2000,2011-04,121
2000,2011-05,135
2000,2011-06,110
2000,2011-07,102
2000,2011-08,160
2000,2011-09,122
2000,2011-10,140
2000,2011-11,180
2000,2011-12,110
2000,2012-01,119
2000,2012-02,86
2000,2012-03,109
2000,2012-04,116
2000,2012-05,158
2000,2012-06,133
2000,2012-07,158
2000,2012-08,141
2000,2012-09,136
2000,2012-10,138
2000,2012-11,110
2000,2012-12,99
2000,2013-01,142
2000,2013-02,125
2000,2013-03,92
2000,2013-04,129
2000,2013-05,104
2000,2013-06,132
2000,2013-07,165
2000,2013-08,117
2000,2013-09,122
2000,2013-10,162
2000,2013-11,139
2000,2013-12,162
2000,2014-01,102
2000,2014-02,92
2000,2014-03,110
2000,2014-04,166
2000,2014-05,110
2000,2014-06,146
2000,2014-07,158
2000,2014-08,144
2000,2014-09,175
2000,2014-10,104
2000,2014-11,92
2000,2014-12,150
2001,2011-01,78
2001,2011-02,99
2001,2011-03,112
2001,2011-04,104
2001,2011-05,89
2001,2011-06,93
2001,2011-07,65
2001,2011-08,114
2001,2011-09,89
2001,2011-10,79
2001,2011-11,97
2001,2011-12,95
2001,2012-01,133
2001,2012-02,84
2001,2012-03,84
2001,2012-04,88
2001,2012-05,129
2001,2012-06,79
2001,2012-07,104
2001,2012-08,94
2001,2012-09,93
2001,2012-10,125
2001,2012-11,84
2001,2012-12,92
2001,2013-01,122
2001,2013-02,105
2001,2013-03,92
2001,2013-04,103
2001,2013-05,92
2001,2013-06,114
2001,2013-07,121
2001,2013-08,128
2001,2013-09,105
2001,2013-10,116
2001,2013-11,108
2001,2013-12,131
2001,2014-01,98
2001,2014-02,92
2001,2014-03,122
2001,2014-04,121
2001,2014-05,124
2001,2014-06,123
2001,2014-07,117
2001,2014-08,103
2001,2014-09,96
2001,2014-10,119
2001,2014-11,121
2001,2014-12,124
2002,2011-01,79
2002,2011-02,87
2002,2011-03,97
2002,2011-04,80
2002,2011-05,93
2002,2011-06,57
2002,2011-07,66
2002,2011-08,92
2002,2011-09,83
2002,2011-10,78
2002,2011-11,93
2002,2011-12,80
2002,2012-01,81
2002,2012-02,74
2002,2012-03,55
2002,2012-04,81
2002,2012-05,92
2002,2012-06,77
2002,2012-07,94
2002,2012-08,87
2002,2012-09,76
2002,2012-10,88
2002,2012-11,61
2002,2012-12,70
2002,2013-01,78
2002,2013-02,65
2002,2013-03,54
2002,2013-04,77
2002,2013-05,53
2002,2013-06,94
2002,2013-07,88
2002,2013-08,69
2002,2013-09,90
2002,2013-10,103
2002,2013-11,101
2002,2013-12,110
2002,2014-01,75
2002,2014-02,64
2002,2014-03,84
2002,2014-04,96
2002,2014-05,79
2002,2014-06,87
2002,2014-07,103
2002,2014-08,97
2002,2014-09,111
2002,2014-10,81
2002,2014-11,64
2002,2014-12,76
2003,2011-01,55
2003,2011-02,71
2003,2011-03,111
2003,2011-04,60
2003,2011-05,80
2003,2011-06,67
2003,2011-07,40
2003,2011-08,93
2003,2011-09,69
2003,2011-10,68
2003,2011-11,107
2003,2011-12,53
2003,2012-01,90
2003,2012-02,71
2003,2012-03,58
2003,2012-04,84
2003,2012-05,80
2003,2012-06,89
2003,2012-07,94
2003,2012-08,75
2003,2012-09,66
2003,2012-10,85
2003,2012-11,70
2003,2012-12,72
2003,2013-01,78
2003,2013-02,61
2003,2013-03,71
2003,2013-04,80
2003,2013-05,48
2003,2013-06,97
2003,2013-07,78
2003,2013-08,80
2003,2013-09,85
2003,2013-10,95
2003,2013-11,89
2003,2013-12,105
2003,2014-01,89
2003,2014-02,63
2003,2014-03,64
2003,2014-04,114
2003,2014-05,82
2003,2014-06,108
2003,2014-07,91
2003,2014-08,112
2003,2014-09,115
2003,2014-10,95
2003,2014-11,107
2003,2014-12,95
2004,2011-01,58
2004,2011-02,79
2004,2011-03,93
2004,2011-04,66
2004,2011-05,82
2004,2011-06,70
2004,2011-07,44
2004,2011-08,74
2004,2011-09,49
2004,2011-10,88
2004,2011-11,124
2004,2011-12,60
2004,2012-01,96
2004,2012-02,92
2004,2012-03,57
2004,2012-04,99
2004,2012-05,112
2004,2012-06,96
2004,2012-07,66
2004,2012-08,70
2004,2012-09,75
2004,2012-10,88
2004,2012-11,84
2004,2012-12,79
2004,2013-01,86
2004,2013-02,112
2004,2013-03,55
2004,2013-04,84
2004,2013-05,58
2004,2013-06,77
2004,2013-07,93
2004,2013-08,100
2004,2013-09,110
2004,2013-10,95
2004,2013-11,105
2004,2013-12,90
2004,2014-01,108
2004,2014-02,77
2004,2014-03,100
2004,2014-04,113
2004,2014-05,89
2004,2014-06,98
2004,2014-07,105
2004,2014-08,110
2004,2014-09,130
2004,2014-10,88
2004,2014-11,132
2004,2014-12,101
2005,2011-01,47
2005,2011-02,75
2005,2011-03,95
2005,2011-04,77
2005,2011-05,66
2005,2011-06,58
2005,2011-07,52
2005,2011-08,78
2005,2011-09,65
2005,2011-10,86
2005,2011-11,72
2005,2011-12,60
2005,2012-01,94
2005,2012-02,75
2005,2012-03,58
2005,2012-04,70
2005,2012-05,102
2005,2012-06,79
2005,2012-07,99
2005,2012-08,91
2005,2012-09,56
2005,2012-10,80
2005,2012-11,73
2005,2012-12,59
2005,2013-01,63
2005,2013-02,113
2005,2013-03,59
2005,2013-04,77
2005,2013-05,52
2005,2013-06,85
2005,2013-07,92
2005,2013-08,73
2005,2013-09,97
2005,2013-10,110
2005,2013-11,76
2005,2013-12,78
2005,2014-01,73
2005,2014-02,62
2005,2014-03,75
2005,2014-04,125
2005,2014-05,99
2005,2014-06,106
2005,2014-07,78
2005,2014-08,91
2005,2014-09,101
2005,2014-10,77
2005,2014-11,100
2005,2014-12,69
2006,2011-01,57
2006,2011-02,62
2006,2011-03,73
2006,2011-04,69
2006,2011-05,44
2006,2011-06,57
2006,2011-07,50
2006,2011-08,78
2006,2011-09,65
2006,2011-10,63
2006,2011-11,90
2006,2011-12,69
2006,2012-01,106
2006,2012-02,67
2006,2012-03,73
2006,2012-04,64
2006,2012-05,93
2006,2012-06,69
2006,2012-07,99
2006,2012-08,80
2006,2012-09,68
2006,2012-10,85
2006,2012-11,80
2006,2012-12,69
2006,2013-01,94
2006,2013-02,74
2006,2013-03,82
2006,2013-04,87
2006,2013-05,57
2006,2013-06,92
2006,2013-07,95
2006,2013-08,90
2006,2013-09,80
2006,2013-10,123
2006,2013-11,103
2006,2013-12,90
2006,2014-01,86
2006,2014-02,50
2006,2014-03,80
2006,2014-04,144
2006,2014-05,82
2006,2014-06,93
2006,2014-07,103
2006,2014-08,97
2006,2014-09,112
2006,2014-10,80
2006,2014-11,120
2006,2014-12,89
2007,2011-01,28
2007,2011-02,36
2007,2011-03,47
2007,2011-04,31
2007,2011-05,30
2007,2011-06,32
2007,2011-07,38
2007,2011-08,43
2007,2011-09,34
2007,2011-10,38
2007,2011-11,50
2007,2011-12,32
2007,2012-01,44
2007,2012-02,38
2007,2012-03,43
2007,2012-04,51
2007,2012-05,49
2007,2012-06,54
2007,2012-07,54
2007,2012-08,67
2007,2012-09,50
2007,2012-10,62
2007,2012-11,53
2007,2012-12,36
2007,2013-01,52
2007,2013-02,42
2007,2013-03,38
2007,2013-04,70
2007,2013-05,46
2007,2013-06,69
2007,2013-07,48
2007,2013-08,63
2007,2013-09,54
2007,2013-10,76
2007,2013-11,56
2007,2013-12,72
2007,2014-01,65
2007,2014-02,49
2007,2014-03,53
2007,2014-04,86
2007,2014-05,68
