PatentID,Citations
5764899,324
6587127,247
5867478,223
6269336,206
6141341,205
6829475,205
6810323,201
5771353,194
6526275,185
6101531,182
6526581,179
7412077,177
6377810,177
5917830,174
6731940,171
6107920,171
5745116,161
6184651,160
6157630,159
5958006,154
6374177,153
6009336,153
6725022,153
6212550,152
5738583,148
6728531,147
6885874,145
6206293,142
5834756,140
6233559,134
6331972,134
6456852,130
6748195,129
6757544,123
6889385,121
6265977,120
6043707,119
6658272,117
6434159,115
5870030,115
6493875,112
6640184,111
6058106,110
5948066,110
6505049,108
5991447,108
6421602,105
6993327,103
6668046,101
6052563,101
6246862,100
7050419,100
7035270,100
6895238,99
5894320,98
5777903,98
6980596,98
5781226,97
6223291,95
5928330,95
6756882,94
6049821,92
7243163,89
5909183,89
6927728,89
5952942,88
5982445,88
6542466,88
7970350,87
5740534,86
6522352,86
5999826,85
6799201,84
6169538,82
6212470,82
6609004,80
6005980,80
5786727,79
6832259,79
6859503,79
7593714,79
6052600,78
6606483,78
6463534,78
7113997,77
6701160,77
6173181,76
5903558,76
5982327,76
6061449,76
6057884,75
6657595,74
6970926,74
5768527,72
6647061,72
5974184,71
6449465,71
5663748,71
6625621,70
5963012,70
6888811,70
5943624,70
7181170,69
7519042,69
5815507,69
6160489,69
5974054,69
7136909,68
6086395,67
6567745,67
7231206,67
7139328,67
6572830,66
5832223,66
5757229,66
6349216,66
7962622,66
7159120,66
7042879,65
6175588,65
5966120,65
6539359,64
6216086,64
6807529,64
5699365,64
6801159,64
5705995,62
6690655,61
6879584,61
7057607,61
5893132,61
7215976,61
6999782,60
5886736,60
6564047,60
5880633,60
6426983,60
6791995,60
6944540,60
6577877,59
6756938,59
6965754,59
6067457,59
6484033,58
7085542,58
7006616,58
6487180,58
6920171,58
6744740,58
6018764,58
7043226,58
5729219,58
6486874,57
6912581,57
5982411,57
5771239,57
6912395,56
6334063,56
5950131,56
6105006,56
6867734,56
5945948,56
6762723,56
6324184,55
6640087,55
6957073,55
6741842,55
6337983,54
6307846,54
6882709,54
6128007,54
8270972,54
6865384,53
6011784,53
6512922,53
6130518,53
6980816,53
6404764,53
6160449,52
6078611,52
5675344,52
6493671,52
6038263,52
6141541,52
8520589,52
7016319,52
6014102,52
6385583,52
7039048,52
7062556,52
5850594,51
6839070,51
6009173,51
5774827,51
6751464,51
5862480,51
6588015,51
7013143,51
6344727,50
5949948,50
7271569,50
6345307,49
7221945,49
6160545,49
6834183,49
6131013,49
6041314,49
7509649,49
5877821,49
5956088,49
5862451,48
6072831,48
6167084,48
6259733,48
6011699,48
6157253,48
7190956,48
5982363,48
6084967,47
6754504,47
5892769,47
5751378,47
8463232,47
5883580,47
6434197,46
6226612,46
5826188,46
5901346,46
6922170,46
6381467,46
7043208,46
6487721,45
7248645,45
6671525,45
6008636,45
5867230,45
6700867,45
6643541,45
7062261,44
5936464,44
6665521,44
5859522,44
6173005,44
6801642,44
5809059,44
6285681,44
6765536,44
7120926,44
7200112,44
6151497,43
6208871,43
6993342,43
7212111,43
6970127,43
7508842,43
6091959,43
5956729,43
7231516,43
6080690,42
6466804,42
5956626,42
6438109,42
6069886,42
5886575,42
7089577,42
6704046,42
7272564,42
6069896,41
6487252,41
6208637,41
6912507,41
5838740,41
6307901,41
6060997,41
6313787,41
7003464,40
6882971,40
5905407,40
6215474,40
6175740,40
6285786,40
6016312,40
6987819,40
6374092,40
7751826,40
6108558,40
6668169,40
7165112,40
6429808,40
6085074,39
6097252,39
6330459,39
6934275,39
6678740,39
6701162,39
5940076,39
6850503,39
6085252,38
6173330,38
5802044,38
6956893,38
7287097,38
6363249,38
6141393,38
6268077,38
6211819,38
6321073,38
5877812,38
6605454,38
6112074,38
6138034,38
6434381,37
6295606,37
6700441,37
6088337,37
5739723,37
7099389,37
6549789,37
6668173,37
7242722,37
6591095,37
6842621,37
6317755,37
5854571,37
6028485,37
6084968,37
5901142,37
6163701,37
7331793,36
6857132,36
6526349,36
6256504,36
6983370,36
7126996,36
7405703,36
6259741,36
6026086,36
5999046,36
6771657,35
6556814,35
6175587,35
7724707,35
5940400,35
5710998,35
6009325,35
6847311,35
6686931,35
7599327,35
6171138,35
6034950,35
7076528,35
6122270,35
6191738,35
6125279,35
7940740,35
6977675,35
6807317,35
5982819,35
6661409,34
6331817,34
5774802,34
6493673,34
7224970,34
6272219,34
6317411,34
5956490,34
5953669,34
6529804,34
5828660,34
7110455,34
6040781,34
5867510,34
7315967,33
6141564,33
7623447,33
6978136,33
6904550,33
6807563,33
6996227,33
7443316,33
7095707,33
5922047,33
7095403,33
6441754,33
6658000,33
5946356,33
6192256,33
6263209,33
6898567,33
6498358,33
6834384,33
6282189,33
6459892,32
5896575,32
6233235,32
6043838,32
6256393,32
6909707,32
6018299,32
5637418,32
6134223,32
6300864,32
6744766,32
5703877,32
6141542,32
6104317,32
6313732,31
6940407,31
6429811,31
6378073,31
6633653,31
7466859,31
6141011,31
7254405,31
6438360,31
6108314,31
7321780,31
6122014,30
6741554,30
6987888,30
6055333,30
5857155,30
7085576,30
7027838,30
6208839,30
6459440,30
6937617,30
5842162,30
6298233,30
6308294,30
6973332,30
6822946,30
6834043,29
6999759,29
6011579,29
6424623,29
6532593,29
5983092,29
7262724,29
5751813,29
7149521,29
7177475,29
6984516,29
7202825,29
6529525,29
6699611,29
6311167,29
7039432,28
7457588,28
5696765,28
8031583,28
5705955,28
6958984,28
6834265,28
5953413,28
6038457,28
5886993,28
6127058,28
6441786,28
5901347,28
6282183,28
5884266,28
6020878,28
6643512,28
6710578,27
5883886,27
7154468,27
5892910,27
5744258,27
5790607,27
6269402,27
5974447,27
7143333,27
7243366,27
6014376,27
5809538,27
6948183,27
5991618,27
5949827,27
6192253,27
6424743,27
5893024,27
6480096,27
6246327,27
6346911,26
6366302,26
5689413,26
6141540,26
6212393,26
5872777,26
5675287,26
6683916,26
6236960,26
6404743,26
6233231,26
6992580,26
6323849,26
7047006,26
6792293,26
5799256,26
6466938,26
6182038,26
6625470,26
6493629,26
5745695,26
5987518,26
6133850,26
6401242,26
6259491,26
7007296,26
5781583,25
5933330,25
6660427,25
6363139,25
6240100,25
6529488,25
6212414,25
6385462,25
6505058,25
6927432,25
6904097,25
6175273,25
6314519,25
7283845,25
7085246,25
6298135,25
5724004,25
7076428,25
6275693,25
6012634,25
6496709,25
6795768,25
6754475,25
6275500,25
5656917,25
6876543,25
5859594,25
5867140,25
7389235,25
6411946,25
6011510,25
5850611,25
5694120,24
6836212,24
6662154,24
6505055,24
7640373,24
6978474,24
7239867,24
6314095,24
5901344,24
5862452,24
6281748,24
7158678,24
