,id,type,number,country,date,abstract,title,kind,num_claims
0,5541019,,5541019,,1996-07-30,"An improved metal hydride hydrogen storage alloy electrochemical cell (10) includes a positive electrode (20) and a negative electrode (30) having disposed therebetween, a polymer electrolyte (40). The polymer electrolyte (40) comprises a polymer support structure fabricated of, for example, polyvinyl alcohol or polyvinyl acetate, and having dispersed therein an electrolyte active species such as, for example, KOH. The improved electrolyte for a metal hydride hydrogen storage alloy cell provides a battery cell free from electrolyte leakage, and having ionic conductivities which allow for an efficient use of the metal hydride electrodes.",Metal hydride electrochemical cell having a polymer electrolyte,,6
1,5573869,,5573869,,1996-11-12,"A modular battery pack (10) is described having several embodiments. In general, the modular battery pack has a battery cell cartridge (12), a circuit cartridge (14), and a housing (16). In conventional battery packs these three elements are combined into one single unit. The invention modularizes these components such that portions may be re-used and shared. This results in a more cost effective power system for a portable electrical or electronic device (40) since, once the battery cell or cells (48) have expired, they can be replaced without having to replace the other components, in particular the circuitry. PARN This is a divisional application of U.S. patent application Ser. No. 08/561,736 filed on Nov. 22, 1995 and assigned to Motorola, Inc., now U.S",Modular battery pack,,7
2,5604415,,5604415,,1997-02-18,"A lockout circuit is provided in a battery pack (10) which blocks charging by incompatible chargers while allowing charging by a compatible charger (12). The battery comprises a battery cell or cells (22), and a switch circuit (24). The switch circuit blocks charge current until a switch disable signal is provided to a switch disable contact (18). The switch circuit provides a one way bypass so that the battery may provide power to a device. To eliminate voltage drop while powering a device, a current sense circuit is provided to detect discharge current, and disable the switch circuit.",Battery lockout circuit and battery pack using same,,24
3,5604660,,5604660,,1997-02-18,"An electrochemical cell is made with two asymmetric electrodes and a solid polymer electrolyte. The anode is made from materials such metal hydrides, metals, metal hydroxides or metal oxides. The cathode is made from metal hydrides, metals, metal hydroxides or metal oxides. A solid polymer electrolyte is in intimate contact with and situated between the anode and the cathode. The solid polymer electrolyte is made from a polymeric binder such as polyethylene oxide, polyvinylalcohol, polyvinyl acetate, polyacrylamide, poly(vinylpyrrolidone), poly(2-vinylpyridine), poly(4-vinylpyridine) and polyethyleneimine. The polymeric binder has H.sub.2 SO.sub.4 or H.sub.3 PO.sub.4 dispersed within it. PARN This is a continuation application under .sctn.1.60 of U.S. paten",Electrochemical cell having solid polymer electrolyte and asymmetric inorganic electrodes,,4
4,5623225,,5623225,,1997-04-22,"A demodulator (18) which receives digital representations of a received signal converts those signals into analog signals (53) in a pair of multiplying analog-to-digital converters (MDACs) (21, 22) The analog signals are then combined in combiner (26) by subtracting the first analog signal from the second analog signal (54). The summed signal is normalized (55) in quantizer (27). The output from the quantizer (27) is accumulated (56) in an n-bit accumulator (28) as regulated by a clock input (Fclock). The output of the accumulator (28) is used as a programming input (57) to the MDACs (21, 22).",Quadrature signal demodulation using quantizing and accumulating,,16
5,5626729,,5626729,,1997-05-06,Method for making high power electrochemical capacitors (28) provides for depositing an electrically polymer (18) and (20) onto a substrate (12) which has been treated so as to form nitride layers (14) and (16) on exposed surfaces thereof. Such electrochemical capacitors provide for high power high energy devices without the short comings of excessive equivalent series resistance nor the expense of noble metal substrates as have been typically been used.,Modified polymer electrodes for energy storage devices and method of making same,,16
6,5627931,,5627931,,1997-05-06,"An optoelectronic transducer includes a fiber carrier having a groove formed in a major side with an optical fiber mounted in the groove and a reflecting surface positioned adjacent one end of the groove so as to direct light in-to/out-of the optical fiber. A photonic device carrier having a photonic device fixedly mounted on a major side. Mounting pads positioned on the major sides of the carriers are affixed together so that the photonic device is optically aligned with the reflecting surface and light traveling in-to/out-of the optical fiber is directed out-of/in-to the photonic device. The carriers are formed of materials with similar thermal coefficients of expansion, such as silicon and ceramic.",Optoelectronic transducer,,30
7,5631101,,5631101,,1997-05-20,"A modular battery pack (10) is described having several embodiments. In general, the modular battery pack has a battery cell cartridge (12), a circuit cartridge (14), and a housing (16). In conventional battery packs these three elements are combined into one single unit. The invention modularizes these components such that portions may be reused and shared. This results in a more cost effective power system for a portable electrical or electronic device (40) since, once the battery cell or cells (48) have expired, they can be replaced without having to replace the other components, in particular the circuitry. PARN This is a divisional application of U.S. patent application Ser. No. 08/561,736 filed on Nov. 22, 1995 and assigned to Motorola, Inc., now U.S.",Modular battery pack,,9
8,5631538,,5631538,,1997-05-20,"A unique method and apparatus for charging a battery enables the safe and efficient charging of a battery (102) which may be removed during charging. An electronic device (106) may not be adapted to be powered by the external power supply (114) without a detachable battery, or more importantly, the internal circuitry (200) may be damaged when the detachable battery is removed while the power supply is attached. Also, a battery may not be properly charged if a battery is replaced in the middle of a charging program for the battery. By periodically interrupting (306) the charging current, a device may turn itself off before circuitry or components are damaged if a battery is removed, and reset the charging program to correctly charge a battery if the battery ",Method and apparatus for charging a detachable battery,,14
9,5640166,,5640166,,1997-06-17,"A satellite communication system (100) includes a satellite (102) in a predefined orbit projecting a plurality of beams (1-48) designating a coverage area (115). The satellite (102) has a communication device (200), a frequency synthesizer (222) for setting a frequency of the communication device for communicating via a beam of the plurality of beams (1-48) and a controller (216) coupled to the frequency synthesizer (222) for compensating for a Doppler frequency shift associated with the beam.",Method for compensating for doppler frequency shifts for satellite communication systems,,13
10,5644743,,5644743,,1997-07-01,"A hybrid analog-digital phase error detector (107) is utilized for detecting a phase error between first and second clock signals (132, 104). Digital and analog phase error detectors (108, 116) are connected to the first and second clock signals (132, 104), and are utilized for producing digital and analog phase error values (110, 118). The digital and analog controllers (112, 120) connected to the digital and analog phase error detectors (108, 116) execute digital and analog control algorithms based on the digital and analog phase error values (110, 118) to produce digital and analog control signals (114, 122). A summer (124) connected to the outputs of the digital and analog controllers (112, 120) combines the analog control signal (122) and the digital c",Hybrid analog-digital phase error detector,,18
