PatentID,Blockings,Citations,Ratio
8395587,0,10,0.0
6408436,0,14,0.0
7046910,2,6,0.333333333333
5903133,0,2,0.0
7190956,2,48,0.0416666666667
6778512,0,1,0.0
5794185,2,7,0.285714285714
6592696,0,6,0.0
8078203,0,0,0.0
8229428,1,1,1.0
7555696,1,5,0.2
5946653,0,5,0.0
7675970,0,22,0.0
8639194,0,0,0.0
8504082,0,0,0.0
8156560,0,0,0.0
7373181,2,7,0.285714285714
7414990,1,2,0.5
8996018,0,0,0.0
5862451,4,48,0.0833333333333
7121851,0,0,0.0
5812527,1,11,0.0909090909091
6390355,0,0,0.0
7742753,0,0,0.0
7263365,1,0,0.0
8279822,0,1,0.0
6175334,0,2,0.0
6466804,4,42,0.0952380952381
7729357,1,7,0.142857142857
7876837,7,2,3.5
5910951,19,7,2.71428571429
5946346,1,23,0.0434782608696
6049704,0,0,0.0
8878996,0,0,0.0
6970926,3,74,0.0405405405405
6836676,1,6,0.166666666667
6983160,0,0,0.0
6999921,0,3,0.0
6084782,0,0,0.0
8509102,0,1,0.0
8948061,0,0,0.0
5781226,2,97,0.020618556701
6898420,0,3,0.0
7231663,0,5,0.0
7787562,0,0,0.0
7007203,0,9,0.0
6229794,0,1,0.0
9008728,0,0,0.0
7826409,0,3,0.0
5886736,18,60,0.3
6947180,0,0,0.0
7330155,0,2,0.0
6563427,2,23,0.0869565217391
8140102,1,2,0.5
8166518,0,0,0.0
8391895,0,0,0.0
6081733,0,0,0.0
8953943,0,0,0.0
8964690,0,0,0.0
7921553,0,5,0.0
6925128,4,10,0.4
6784786,0,1,0.0
8140439,0,1,0.0
6567663,0,8,0.0
7072309,0,10,0.0
6063521,2,1,2.0
8238960,0,0,0.0
6917675,0,5,0.0
7058609,0,1,0.0
7480427,0,1,0.0
5848357,3,20,0.15
6226317,0,6,0.0
6798789,0,5,0.0
6958990,0,0,0.0
8077154,0,16,0.0
7426194,0,9,0.0
6498667,0,13,0.0
6421602,2,105,0.0190476190476
6366302,4,26,0.153846153846
6081719,0,0,0.0
8761278,0,0,0.0
6510142,0,2,0.0
7941181,0,1,0.0
5940746,0,3,0.0
7848221,0,2,0.0
7211721,0,2,0.0
6009552,0,8,0.0
6765888,0,1,0.0
6842621,0,37,0.0
6157313,0,4,0.0
8037011,1,4,0.25
7239867,0,24,0.0
5926501,0,14,0.0
7983426,1,4,0.25
7590128,0,3,0.0
8687806,0,0,0.0
6943777,0,3,0.0
6363249,0,38,0.0
7821975,0,3,0.0
7453406,0,0,0.0
6438109,0,42,0.0
7925278,0,2,0.0
8788676,0,0,0.0
8462727,0,0,0.0
7266101,1,12,0.0833333333333
7418040,0,0,0.0
7668915,0,7,0.0
7003275,0,24,0.0
7333795,0,7,0.0
7729366,5,9,0.555555555556
5946356,0,33,0.0
