,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
0,8395587,0,10,0.0,0
1,6408436,0,14,0.0,0
2,7046910,2,6,0.33333333333299997,1
3,5903133,0,2,0.0,0
4,7190956,2,48,0.0416666666667,1
5,6778512,0,1,0.0,0
6,5794185,2,7,0.28571428571400004,2
7,6592696,0,6,0.0,0
8,8078203,0,0,0.0,0
9,8229428,1,1,1.0,1
10,7555696,1,5,0.2,1
11,5946653,0,5,0.0,0
12,7675970,0,22,0.0,0
13,8639194,0,0,0.0,0
14,8504082,0,0,0.0,0
15,8156560,0,0,0.0,0
16,7373181,2,7,0.28571428571400004,2
17,7414990,1,2,0.5,1
18,8996018,0,0,0.0,0
19,5862451,4,48,0.08333333333330001,1
20,7121851,0,0,0.0,0
21,5812527,1,11,0.0909090909091,1
22,6390355,0,0,0.0,0
23,7742753,0,0,0.0,0
24,7263365,1,0,0.0,1
25,8279822,0,1,0.0,0
26,6175334,0,2,0.0,0
27,6466804,4,42,0.0952380952381,4
28,7729357,1,7,0.14285714285700002,1
29,7876837,7,2,3.5,2
30,5910951,19,7,2.7142857142900003,2
31,5946346,1,23,0.0434782608696,1
32,6049704,0,0,0.0,0
33,8878996,0,0,0.0,0
34,6970926,3,74,0.0405405405405,1
35,6836676,1,6,0.166666666667,1
36,6983160,0,0,0.0,0
37,6999921,0,3,0.0,0
38,6084782,0,0,0.0,0
39,8509102,0,1,0.0,0
40,8948061,0,0,0.0,0
41,5781226,2,97,0.020618556701,2
42,6898420,0,3,0.0,0
43,7231663,0,5,0.0,0
44,7787562,0,0,0.0,0
45,7007203,0,9,0.0,0
46,6229794,0,1,0.0,0
47,9008728,0,0,0.0,0
48,7826409,0,3,0.0,0
49,5886736,18,60,0.3,3
50,6947180,0,0,0.0,0
51,7330155,0,2,0.0,0
52,6563427,2,23,0.08695652173910001,1
53,8140102,1,2,0.5,1
54,8166518,0,0,0.0,0
55,8391895,0,0,0.0,0
56,6081733,0,0,0.0,0
57,8953943,0,0,0.0,0
58,8964690,0,0,0.0,0
59,7921553,0,5,0.0,0
60,6925128,4,10,0.4,2
61,6784786,0,1,0.0,0
62,8140439,0,1,0.0,0
63,6567663,0,8,0.0,0
64,7072309,0,10,0.0,0
65,6063521,2,1,2.0,1
66,8238960,0,0,0.0,0
67,6917675,0,5,0.0,0
68,7058609,0,1,0.0,0
69,7480427,0,1,0.0,0
70,5848357,3,20,0.15,2
71,6226317,0,6,0.0,0
72,6798789,0,5,0.0,0
73,6958990,0,0,0.0,0
74,8077154,0,16,0.0,0
75,7426194,0,9,0.0,0
76,6498667,0,13,0.0,0
77,6421602,2,105,0.0190476190476,1
78,6366302,4,26,0.153846153846,2
79,6081719,0,0,0.0,0
80,8761278,0,0,0.0,0
81,6510142,0,2,0.0,0
82,7941181,0,1,0.0,0
83,5940746,0,3,0.0,0
84,7848221,0,2,0.0,0
85,7211721,0,2,0.0,0
86,6009552,0,8,0.0,0
87,6765888,0,1,0.0,0
88,6842621,0,37,0.0,0
89,6157313,0,4,0.0,0
90,8037011,1,4,0.25,1
91,7239867,0,24,0.0,0
92,5926501,0,14,0.0,0
93,7983426,1,4,0.25,1
94,7590128,0,3,0.0,0
95,8687806,0,0,0.0,0
96,6943777,0,3,0.0,0
97,6363249,0,38,0.0,0
98,7821975,0,3,0.0,0
99,7453406,0,0,0.0,0
100,6438109,0,42,0.0,0
101,7925278,0,2,0.0,0
102,8788676,0,0,0.0,0
103,8462727,0,0,0.0,0
104,7266101,1,12,0.08333333333330001,1
105,7418040,0,0,0.0,0
106,7668915,0,7,0.0,0
107,7003275,0,24,0.0,0
108,7333795,0,7,0.0,0
109,7729366,5,9,0.555555555556,1
110,5946356,0,33,0.0,0
111,7136644,0,7,0.0,0
112,6427075,0,5,0.0,0
113,6857132,6,36,0.166666666667,2
114,6226283,0,2,0.0,0
115,5909249,0,1,0.0,0
116,7584099,0,3,0.0,0
117,7257421,2,2,1.0,1
118,9224359,0,0,0.0,0
119,6442401,0,4,0.0,0
120,8761846,0,0,0.0,0
121,6141540,0,26,0.0,0
122,6169906,0,1,0.0,0
123,7415410,0,1,0.0,0
124,6567745,0,67,0.0,0
125,6597915,3,3,1.0,1
126,5922047,2,33,0.0606060606061,1
127,6978147,0,7,0.0,0
128,7764793,0,1,0.0,0
129,7533018,0,2,0.0,0
130,6108322,0,1,0.0,0
131,8207875,0,0,0.0,0
132,5783969,0,2,0.0,0
133,6035491,0,5,0.0,0
134,6926990,0,0,0.0,0
135,8775966,0,0,0.0,0
136,6965763,16,11,1.45454545455,2
137,7769370,5,2,2.5,1
138,8310351,0,2,0.0,0
139,6219540,0,12,0.0,0
140,5812956,1,0,0.0,1
141,8478190,0,0,0.0,0
142,6948183,10,27,0.37037037037,2
143,5956641,4,8,0.5,3
144,D733103,0,0,0.0,0
145,D666987,0,0,0.0,0
146,7667371,2,9,0.222222222222,1
147,7139328,8,67,0.11940298507500001,5
148,6345307,1,49,0.0204081632653,1
149,8774135,0,1,0.0,0
150,7697447,0,6,0.0,0
151,5905358,0,2,0.0,0
152,7676250,3,1,3.0,1
153,7129824,0,4,0.0,0
154,8990338,0,0,0.0,0
155,5930276,0,2,0.0,0
156,9154282,0,0,0.0,0
157,8463314,0,0,0.0,0
158,5857049,0,3,0.0,0
159,8320952,0,0,0.0,0
160,7149516,0,0,0.0,0
161,8140342,0,0,0.0,0
162,9049470,0,0,0.0,0
163,7103782,1,13,0.0769230769231,1
164,8452296,0,0,0.0,0
165,9043148,0,0,0.0,0
166,6896548,0,7,0.0,0
167,8037541,0,13,0.0,0
168,8565350,0,0,0.0,0
169,8954501,0,0,0.0,0
170,8599871,0,0,0.0,0
171,6269336,13,206,0.0631067961165,6
172,5970391,0,4,0.0,0
173,5666657,0,0,0.0,0
174,7853475,2,1,2.0,1
175,5991800,0,11,0.0,0
