id,date
5541019,1996-07-30
5573869,1996-11-12
5604415,1997-02-18
5604660,1997-02-18
5623225,1997-04-22
5626729,1997-05-06
5627931,1997-05-06
5631101,1997-05-20
5631538,1997-05-20
5640166,1997-06-17
5644743,1997-07-01
5656917,1997-08-12
5661635,1997-08-26
5666657,1997-09-09
5677085,1997-10-14
5687056,1997-11-11
5691622,1997-11-25
5691981,1997-11-25
5693434,1997-12-02
5694120,1997-12-02
5694431,1997-12-02
5696765,1997-12-09
5697538,1997-12-16
5699365,1997-12-16
5705955,1998-01-06
5705995,1998-01-06
5710972,1998-01-20
5710975,1998-01-20
5710998,1998-01-20
5716421,1998-02-10
5726983,1998-03-10
5728181,1998-03-17
5729219,1998-03-17
5732387,1998-03-24
5736933,1998-04-07
5737404,1998-04-07
5738583,1998-04-14
5740534,1998-04-14
5741609,1998-04-21
5745203,1998-04-28
5745481,1998-04-28
5745566,1998-04-28
5745695,1998-04-28
5745848,1998-04-28
5750284,1998-05-12
5754484,1998-05-19
5754739,1998-05-19
5754953,1998-05-19
5757367,1998-05-26
5758264,1998-05-26
5760714,1998-06-02
5761504,1998-06-02
5764104,1998-06-09
5764690,1998-06-09
5764899,1998-06-09
5767738,1998-06-16
5771353,1998-06-23
5771461,1998-06-23
5774857,1998-06-30
5777903,1998-07-07
5777986,1998-07-07
5778323,1998-07-07
5781226,1998-07-14
5781547,1998-07-14
5783969,1998-07-21
5786727,1998-07-28
5787130,1998-07-28
5790545,1998-08-04
5794185,1998-08-11
5796777,1998-08-18
5801707,1998-09-01
5802484,1998-09-01
5805095,1998-09-08
5805977,1998-09-08
5806031,1998-09-08
5807412,1998-09-15
5809025,1998-09-15
5809059,1998-09-15
5809421,1998-09-15
5809538,1998-09-15
5810989,1998-09-22
5812527,1998-09-22
5812542,1998-09-22
5812590,1998-09-22
5812602,1998-09-22
5812956,1998-09-22
5815407,1998-09-29
5818618,1998-10-06
5818887,1998-10-06
5821006,1998-10-13
5822314,1998-10-13
5824436,1998-10-20
5825762,1998-10-20
5825811,1998-10-20
5831475,1998-11-03
5831476,1998-11-03
5831479,1998-11-03
5831636,1998-11-03
5831960,1998-11-03
5832026,1998-11-03
5832147,1998-11-03
5832223,1998-11-03
5834135,1998-11-10
5834756,1998-11-10
5834972,1998-11-10
5835730,1998-11-10
5838740,1998-11-17
5842210,1998-11-24
5845213,1998-12-01
5848357,1998-12-08
5848718,1998-12-15
5850611,1998-12-15
5853916,1998-12-29
5854785,1998-12-29
5857049,1999-01-05
5857155,1999-01-05
5857173,1999-01-05
5862451,1999-01-19
5862453,1999-01-19
5862493,1999-01-19
5864299,1999-01-26
5864799,1999-01-26
5864807,1999-01-26
5867054,1999-02-02
5867060,1999-02-02
5867230,1999-02-02
5867478,1999-02-02
5867510,1999-02-02
5873023,1999-02-16
5873044,1999-02-16
5875387,1999-02-23
5877633,1999-03-02
5877821,1999-03-02
5878352,1999-03-02
5880633,1999-03-09
5883612,1999-03-16
5884215,1999-03-16
5884266,1999-03-16
5884268,1999-03-16
5884772,1999-03-23
5886645,1999-03-23
5886736,1999-03-23
5892910,1999-04-06
5893036,1999-04-06
5893132,1999-04-06
5896261,1999-04-20
5896379,1999-04-20
5898295,1999-04-27
5898831,1999-04-27
5901344,1999-05-04
5901357,1999-05-04
5903133,1999-05-11
5905358,1999-05-18
5905720,1999-05-18
5905956,1999-05-18
5908717,1999-06-01
5909183,1999-06-01
5909249,1999-06-01
5909444,1999-06-01
5910951,1999-06-08
5913167,1999-06-15
5917306,1999-06-29
5920286,1999-07-06
5920550,1999-07-06
5920576,1999-07-06
5920612,1999-07-06
5922047,1999-07-13
5923007,1999-07-13
5923214,1999-07-13
5923266,1999-07-13
5926104,1999-07-20
5926501,1999-07-20
5926751,1999-07-20
5928330,1999-07-27
5929702,1999-07-27
5929776,1999-07-27
5930268,1999-07-27
5930276,1999-07-27
5930288,1999-07-27
5930299,1999-07-27
5930307,1999-07-27
5930681,1999-07-27
5930748,1999-07-27
5936464,1999-08-10
5936516,1999-08-10
5937937,1999-08-17
5940381,1999-08-17
5940430,1999-08-17
5940741,1999-08-17
5940746,1999-08-17
5942938,1999-08-24
5943505,1999-08-24
5945772,1999-08-31
5945852,1999-08-31
5946346,1999-08-31
5946356,1999-08-31
5946620,1999-08-31
5946653,1999-08-31
5948066,1999-09-07
5948562,1999-09-07
5949771,1999-09-07
5949774,1999-09-07
5949948,1999-09-07
5950162,1999-09-07
5953413,1999-09-14
5956490,1999-09-21
5956641,1999-09-21
5958006,1999-09-28
5959546,1999-09-28
5959966,1999-09-28
5960327,1999-09-28
5960350,1999-09-28
5963087,1999-10-05
5963848,1999-10-05
5966384,1999-10-12
5966651,1999-10-12
5966656,1999-10-12
5966671,1999-10-12
5969508,1999-10-19
5970391,1999-10-19
5974054,1999-10-26
5974066,1999-10-26
5974100,1999-10-26
5974121,1999-10-26
5977916,1999-11-02
5978526,1999-11-02
5982351,1999-11-09
5987021,1999-11-16
5987024,1999-11-16
5987032,1999-11-16
5987332,1999-11-16
5990806,1999-11-23
5991285,1999-11-23
5991447,1999-11-23
5991618,1999-11-23
5991800,1999-11-23
5995840,1999-11-30
5998978,1999-12-07
5999115,1999-12-07
5999832,1999-12-07
6000120,1999-12-14
6002342,1999-12-14
6002422,1999-12-14
6002948,1999-12-14
6005498,1999-12-21
6006068,1999-12-21
6008636,1999-12-28
6009325,1999-12-28
6009336,1999-12-28
