,Blocking_patent,Blocking_action,Blocked_app
0,7046910,102e,10578151
1,7046910,103a,10578151
2,7190956,103a,12866025
3,7190956,103a,12866025
4,5794185,103a,13008925
5,5794185,103a,12035715
6,8229428,119,13547133
7,7555696,103a,11621919
8,7373181,103a,12336526
9,7373181,119,13647868
10,7414990,103a,11955055
11,5862451,103a,12470623
12,5862451,103a,12470623
13,5862451,103a,12470623
14,5862451,103a,12470623
15,5812527,102b,12436517
16,7263365,103,11842543
17,6466804,103a,13252096
18,6466804,103a,10476522
19,6466804,103a,12933760
20,6466804,103a,12990205
21,7729357,103a,11786969
22,7876837,103a,12356184
23,7876837,103a,12356184
24,7876837,103a,12356184
25,7876837,103a,12356184
26,7876837,103a,12356184
27,7876837,103a,12356184
28,7876837,103a,12027794
29,5910951,103a,11147396
30,5910951,103a,11147396
31,5910951,103a,11147396
32,5910951,103a,11147396
33,5910951,103a,11147396
34,5910951,103a,11147396
35,5910951,103a,11147396
36,5910951,103a,11147396
37,5910951,103a,11147396
38,5910951,103a,11147396
39,5910951,103a,11147396
40,5910951,103a,11147396
41,5910951,103a,11147396
42,5910951,103a,11147396
43,5910951,103a,11147396
44,5910951,103a,11945840
45,5910951,103a,11945840
46,5910951,103a,11945840
47,5910951,103a,11945840
48,5946346,103a,12475966
49,6970926,103,11696428
50,6970926,103a,11696428
51,6970926,103a,11696428
52,6836676,103a,13523413
53,5781226,103a,11400371
54,5781226,103a,12711092
55,5886736,103a,12311929
56,5886736,102b,12759554
57,5886736,103a,12759554
58,5886736,103a,12759554
59,5886736,103a,12759554
60,5886736,103a,12759554
61,5886736,103a,12759554
62,5886736,103a,12747442
63,5886736,103a,12747442
64,5886736,102b,12747442
65,5886736,103a,12747442
66,5886736,103a,12747442
67,5886736,103a,12759554
68,5886736,103a,12759554
69,5886736,103a,12759554
70,5886736,103a,12759554
71,5886736,103a,12759554
72,5886736,103a,12759554
73,6563427,103a,11331338
74,6563427,103,11331338
75,8140102,103a,12338573
76,6925128,103a,12905809
77,6925128,103,12905809
78,6925128,103a,13351738
79,6925128,103,13351738
80,6063521,103a,13011752
81,6063521,103a,13011752
82,5848357,103a,11540286
83,5848357,103a,11540286
84,5848357,103a,12495207
85,6421602,103a,12847659
86,6421602,103a,12847659
87,6366302,103a,11550053
88,6366302,103a,11550053
89,6366302,103a,11550053
90,6366302,103a,12692498
91,8037011,103a,12466880
92,7983426,103a,12352323
93,7266101,103a,12646718
94,7729366,103a,11985512
95,7729366,103a,11985512
96,7729366,103a,11985512
97,7729366,103a,11985512
98,7729366,103a,11985512
99,6857132,103a,10498466
100,6857132,103a,11137606
101,6857132,103a,11137606
102,6857132,103a,11137606
103,6857132,103a,11137606
104,6857132,103a,11137606
105,7257421,103a,13160622
106,7257421,103a,13160622
107,6597915,103a,11176512
108,6597915,103a,11176512
109,6597915,103a,11176512
110,5922047,103a,11636998
111,5922047,103a,11636998
112,6965763,102e,11498011
113,6965763,103a,11498011
114,6965763,103a,11498011
115,6965763,103a,11498011
116,6965763,102e,11498011
117,6965763,103a,11498011
118,6965763,103a,11498011
119,6965763,103a,11498011
120,6965763,103a,11498011
121,6965763,102b,12600055
122,6965763,102e,11498011
123,6965763,103a,11498011
124,6965763,103a,11498011
125,6965763,103a,11498011
126,6965763,103a,11498011
127,6965763,102b,12600055
128,7769370,102,12466111
129,7769370,103a,12466111
130,7769370,103a,12466111
131,7769370,103a,12466111
132,7769370,103a,12466111
133,5812956,103a,11985764
134,6948183,103a,11959026
135,6948183,103a,11959026
136,6948183,103a,11959026
137,6948183,103a,11959026
138,6948183,103a,11959026
139,6948183,103a,11959026
140,6948183,103a,12824917
141,6948183,103a,12824917
142,6948183,103a,12824917
143,6948183,103a,12824917
144,5956641,103a,11844332
145,5956641,103a,11588187
146,5956641,103a,11588187
147,5956641,103a,12684393
148,7667371,103a,12715278
149,7667371,103a,12715278
150,7139328,103a,12383143
151,7139328,103a,11777671
152,7139328,103a,11382346
153,7139328,103,11382346
154,7139328,103a,11777671
155,7139328,103a,11777671
156,7139328,102e,12581218
157,7139328,103a,13132896
158,6345307,103a,12352997
159,7676250,103a,11948232
160,7676250,103a,11948232
161,7676250,103a,11948232
162,7103782,112,11957721
163,6269336,103a,11765900
