app_number,patent_number,blocked_app,date,blocking_type
"09/847,143",7046910,10578151,2011-08-09,102e
"09/847,143",7046910,10578151,2011-08-09,103a
"09/855,385",7190956,12866025,2014-12-19,103a
"09/855,385",7190956,12866025,2014-04-30,103a
"08/665,178",5794185,13008925,2011-11-01,103a
"08/665,178",5794185,12035715,2011-08-15,103a
"12/534,213",8229428,13547133,2012-10-12,119
"11/286,497",7555696,11621919,2011-05-24,103a
"10/692,622",7373181,12336526,2011-04-05,103a
"10/692,622",7373181,13647868,2013-08-15,119
"10/952,362",7414990,11955055,2011-06-21,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/625,116",5812527,12436517,2011-05-03,102b
"10/413,060",7263365,11842543,2011-05-19,103
"09/648,955",6466804,13252096,2011-12-23,103a
"09/648,955",6466804,10476522,2011-05-05,103a
"09/648,955",6466804,12933760,2012-04-11,103a
"09/648,955",6466804,12990205,2013-10-09,103a
"11/558,243",7729357,11786969,2012-06-07,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12027794,2012-03-15,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11945840,2011-07-21,103a
"08/720,984",5910951,11945840,2011-07-21,103a
"08/720,984",5910951,11945840,2012-02-02,103a
"08/720,984",5910951,11945840,2012-02-02,103a
"08/946,210",5946346,12475966,2012-01-04,103a
"09/678,056",6970926,11696428,2011-11-02,103
"09/678,056",6970926,11696428,2011-02-18,103a
"09/678,056",6970926,11696428,2012-05-11,103a
"10/003,153",6836676,13523413,2012-08-03,103a
"08/554,990",5781226,11400371,2012-09-20,103a
"08/554,990",5781226,12711092,2012-07-31,103a
"08/736,383",5886736,12311929,2011-10-27,103a
"08/736,383",5886736,12759554,2012-07-30,102b
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12747442,2012-08-17,103a
"08/736,383",5886736,12747442,2012-08-17,103a
"08/736,383",5886736,12747442,2012-04-19,102b
"08/736,383",5886736,12747442,2012-04-19,103a
"08/736,383",5886736,12747442,2012-04-19,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"09/967,239",6563427,11331338,2011-10-17,103a
