Application_Id,Claim_Id,Claim_text,No_sentences,No_words,No_complex_words,No_characters,Percent_complex_words,Av_w_sentence,Av_syllable_w,Flesch_Kincaid_Reading,Flesch_Kincaid_Grade,Gunning_Fog,SMOG,Coleman_Liau,ARI,Lexical_density,Granted
10981719,1,"A system of interlocking storage bottles comprising: a plurality of storage bottles, each bottle having a storage chamber with an upper surface, a lower surface and at least four generally planar side walls; a central conical ceiling extending upwardly from the upper surface; a cylindrical neck extending from the center of the ceiling and having an opening at its top end; a conical recess in the lower surface of a size sufficient to envelop the ceiling and neck of another storage bottle insertable therein; vertical interlocking means for releasably connecting each side wall to the side wall of another storage bottle stackable adjacent thereto; horizontal interlocking means for releasably connecting the upper surface to the lower surface of another storage bottle disposable thereabove. ",2,124,29,,23%,62,1.76,,,,,-15.80483871,-21.27508065,,
10981719,2,"The system of interlocking storage bottles of claim 1, wherein each storage bottle may be stacked in an upright position above, below or beside another upright storage bottle to form a stable bottle stack. ",,,3,,,,1.56,,,,,,,,
10981719,3,"The system of interlocking storage bottles of claim 1, further comprising at least one aperture between adjacent side walls to form a handle.",,,4,,,,1.61,,,,,,,,
10981719,4,"The system of interlocking storage bottles of claim 1, further comprising a recess in at least one side wall for application thereto of a label.",,,4,,,,1.6,,,,,,,,
10981719,5,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is a liquid storage bottle.",,,1,,,,1.45,,,,,,,,
10981719,6,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is blow-molded. ",,,1,,,,1.39,,,,,,,,
10981719,7,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is manufactured of a polyethylene material. ",,,4,,,,1.76,,,,,,,,
10981719,8,"The system of interlocking storage bottles of claim 1, wherein the size of the storage bottles is selected for use with industry stande drinking water dispensers.",,,,,,,,,,,,,,,
10981719,9,"The system of interlocking storage bottles of claim 1, wherein the vertical interlocking means comprises at least one recess on the side wall for engaging a corresponding protrusion on the side wall of another storage bottle.",,,,,,,,,,,,,,,
10981719,10,"The system of interlocking storage bottles of claim 1, wherein the horizontal interlocking means comprises at least one recess in the lower surface of the housing for engaging a corresponding protrusion on the upper surface of another storage bottle.",,,,,,,,,,,,,,,
10981719,11,"The system of interlocking storage bottles of claim 1, wherein the neck of each bottle further comprises an extemal thread for attachment thereto of a screw cap. ",,,,,,,,,,,,,,,
10981719,12,"The system of interlocking storage bottles of claim 1, wherein the bottles in the stack of bottles are _llable with a consumable material.",,,,,,,,,,,,,,,
10981719,13,"The system of interlocking storage bottles of claim 1, further comprising a locational transitional _t between the neck of each storage bottle and the conical recess of another storage bottle into which the neck is nested. ",,,,,,,,,,,,,,,
10981719,14,"A blow molded liquid storage bottle having a storage chamber, a conical ceiling in an upper surface, a lower surface, and at least four generally planar side walls; a cylindrical neck extending upwardly from the center of the conical ceiling and having an opening at its top end; . a conical recess extending upwardly from the lower surface of a size suf_cient to envelop the ceiling and neck of another storage bottle insertable therein; vertical interlocking means for releasany connecting each side wall to the side wall of another storage bottle stackable adjacent thereto; horizontal interlocking means for releasany connecting the upper surface to the lower surface of another storage bottle disposable thereabove.",,,,,,,,,,,,,,,
10981719,15,"The storage bottle of claim 14, further comprising at least one aperture between adjacent side walls to form a handle.",,,,,,,,,,,,,,,
10981719,16,"The storage bottle of claim 14, further comprising a recess in at least one side wall for application thereto of a label. ",,,,,,,,,,,,,,,
10981719,17,"The storage bottle of claim 14, wherein the size of the storage bottle is selected for use with an industry standard drinking water dispenser.",,,,,,,,,,,,,,,
10981719,18," The storage bottle of claim 14, wherein the vertical interlocking means comprises at least one recess on the side wall for engaging a corresponding protrusion on the side wall of another storage bottle.",,,,,,,,,,,,,,,
10981719,19,"The storage bottle of claim 14, wherein the horizontal interlocking means comprises at least one recess in the lower surface for engaging a corresponding protrusion on the upper surface of another storage bottle.",,,,,,,,,,,,,,,
10981719,20,"The storage bottle of claim 14, wherein the neck further comprises an external thread for attachment thereto of a screw cap. ",,,,,,,,,,,,,,,
10981719,21,"The storage bottle of claim 14, further comprising means for identifying the contents to be stored in the storage bottle.",,,,,,,,,,,,,,,
10981719,22,"The storage bottle of claim 14, further comprising a locational transitional _t between the neck of the storage bottle and the conical recess of another storage bottle into which the neck is nested.",,,,,,,,,,,,,,,
11382714,1,"Achemical vapor deposition equipment comprising: a reactor having an exhaust end; an adjustable pipe comprising: a compressible body having a bellows; a bushing positioned inside the bellows, an end of the bushing connected to the exhaust end of the reactor; and a ring positioned at an end of the compressible body for connecting to an exhausted pipe; and an exhausted pipe connected to the ring of the adjustable pipe.",,,,,,,,,,,,,,,
11382714,2,"The chemical vapor deposition equipment of claim 1, wherein the bellows is a welded bellows. ",,,,,,,,,,,,,,,
11382714,3,"The chemical vapor deposition equipment of claim l,wherein the bushing is an aluminum alloy bushing.",,,,,,,,,,,,,,,
11382714,4,"The chemical vapor deposition equipment of claim 1, wherein the ring is a Teflon ring.",,,,,,,,,,,,,,,
11382714,5,"The chemical vapor deposition equipment of claim 1 , wherein the compressible body is a stainless steel body.",,,,,,,,,,,,,,,
11382714,6,"The chemical vapor deposition equipment of claim 1 , wherein the compressible body further comprises a spring, and the adjustable pipe further comprises a bolt positioned through the spring for providing a reaction force to the ring when the exhausted pipe presses against the ring. ",,,,,,,,,,,,,,,
11382714,7,"The chemical vapor deposition equipment of claim i,wherein the compressible body further comprises a rod, and the ring further comprises a slot for locking the rod to assemble the ring to the compressible body. ",,,,,,,,,,,,,,,
11382714,8,"An adjustable pipe implemented in a chemical vapor deposition equipment, comprising: a compressible body having a bellows; a bushing positioned inside the bellows, an end of the bushing connected to an exhaust end of the reactor; and a ring positioned at an end of the compressible body for connecting to an exhausted pipe. ",,,,,,,,,,,,,,,
11382714,9,"The adjustable pipe of claim 8, wherein the bellows is a welded bellows.",,,,,,,,,,,,,,,
11382714,10,"The adjustable pipe of claim 8, wherein the bushing is an aluminum alloy bushing. ",,,,,,,,,,,,,,,
11382714,11,"The adjustable pipe of claim 8, wherein the ring is aTeflon ring. ",,,,,,,,,,,,,,,
11382714,12,"The adjustable pipe of claim 8, wherein the compressible body is a stainless steel body.",,,,,,,,,,,,,,,
11382714,13,"The adjustable pipe of claim 8, wherein the compressible body further comprises a spring, and the adjustable pipe further comprises a bolt positioned through the spring for providing a reaction force to the ring when the exhausted pipe presses against the ring.",,,,,,,,,,,,,,,
11382714,14,"The adjustable pipe of claim 8, wherein the compressible body further comprises a rod, and the ring further comprises a slot for locking the rod to assemble the ring to the compressible body.",,,,,,,,,,,,,,,
10327223,1,"A device for improving packetized data routing, comprising the following: a network data processing means for decoding incoming data packets and extracting desired data _elds based upon data packet header characteristics, a programmable header processor logic block means controlled by said network processing means, a data register means for storing data packet header characteristics for decoding by said programmable header processor logic block, and at least one _eld offset stored for said datapacket header characteristics from the start of said data packet.",,,,,,,,,,,,,,,
10327223,2,The device of claim 1 wherein said data register means comprises an updateable register means to store additional data packet header characteristics.,,,,,,,,,,,,,,,
10327223,3,"The device ofclaim 2 wherein said data packet header characteristics comprise data packet header characteristics for at least one data packet header protocol selected from the group of Resilient Packet Ring, 8023 Ethernet, POS_PPP, Ipv4/MPLS, GFP encapsulation and Ethernet in PPP. ",,,,,,,,,,,,,,,
10327223,4,The device of claim 3 wherein said network data processing means further comprises an error handling mechanism to detect and report data packets with erroneous data packet headers.,,,,,,,,,,,,,,,
10327223,5,The device of claim 4 wherein said network data processing means further comprises a means for data processing which is capable of sending and receiving data packets over a single physical link at network layer 2 and above.,,,,,,,,,,,,,,,
10327223,6,"A method for improving network data packet handling comprising the steps of: storing data protocol speci_c data packet header _eld information in a data register, decoding the header data of an incoming data packet, determining the data protocol type of said data packet, extracting desired _elds of said data packet header based upon said data protocol speci_c data packet _eld header information, and routing said data packet to its intended destination. ",,,,,,,,,,,,,,,
10327223,7,"The method of claim 6, wherein after said determining the data protocol type step but before the extracting step also comprises the step of retrieving packet header format characteristics From said data register. ",,,,,,,,,,,,,,,
10327223,8,"The method of claim 7 wherein said data packet comprises a data packet encoded with one of the following data protocols selected from the group of Resilient Packet Ring, 802.3 Ethernet, POS‹PPP, lpv4/MPLS, GFP encapsulation and Ethernet in PPP.",,,,,,,,,,,,,,,
10327223,9,The method of claim 6 wherein said data register is updatcable.,,,,,,,,,,,,,,,
10327223,10,"A device for improved data header extraction, compt¥iSlng the following: a dedicated con_guration component means for con_guring only packet header characteristics for at least one data protocol, said packet header characteristics including at least header _eld length, header _eld location and header _eld type, a programmable header processor logic block means controlled by said con_guration component means. a data register means for storing header information for use in header _eld extraction by said programmable header processor logic block, and at least one _eld offset stored for said protocol speci_c header information, counting said _eld offset from the start of said data packet.",,,,,,,,,,,,,,,
