"","Application_Id","Claim_Id","Claim_text","No_sentences","No_words","No_complex_words","No_characters","Percent_complex_words","Av_w_sentence","Av_syllable_w","Flesch_Kincaid_Reading","Flesch_Kincaid_Grade","Gunning_Fog","SMOG","Coleman_Liau","ARI","Lexical_density","Granted"
"1",12174479,1,"An integrated circuit package comprising: a multi—layer package substrate including a pair of references planes that include a power plane and a ground plane and an internal signal plane arranged between the power and ground plane. the multi—layer package originally designed for use without decoupling capacitors and having an upper package surface having a first plane formed thereon. the first plane comprising one of the power plane or the ground plane and including a second plane comprising an other of the power plane and the ground plane; a dielectric layer formed over the upper package surface and first plane; a supplemental plane formed on a top surface of the dielectric layer. the supplemental plane having a polarity opposite of the first plane and having the same polarity as the second plane, the supplemental plane being configured to include a decoupling capacitor; and at least one decoupling capacitor mounted to the supplemental plane and having electrical connections that electrically connect the capacitor with the supplemental plane and the first plane without passing through the signal plane.",4,175,45,1124,0.257142857142857,43.75,1.93714285714286,-1.45353571428569,24.3307857142857,17.6028571428571,22.2902335129214,22.0237714285714,30.6966571428571,NA,1
"2",12174479,2,"The integrated circuit package of Claim 1 wherein the dielectric layer comprises the at least one decoupling capacitor.",1,18,6,119,0.333333333333333,18,0.2,171.645,-6.21,7.33333333333333,17.1224134031937,23.1227777777778,18.7083333333333,NA,1
"3",12174479,3,"The integrated circuit package of Claim 2 wherein the dielectric layer comprises a highrK dielectiic material.",1,16,6,110,0.375,16,0.177142857142857,175.608714285714,-7.25971428571428,6.55,17.1224134031937,24.675,18.95125,NA,1
"4",12174479,4,"The integrated circuit package of Claim 2 wherein the dielectric layer comprises a low—K dielectric material.",1,16,6,111,0.375,16,0.177142857142857,175.608714285714,-7.25971428571428,6.55,17.1224134031937,25.043125,19.245625,NA,1
"5",12174479,5,"The integrated circuit package of Claim 1 wherein the supplemental plane is electrically connected with a decoupling capacitor which is electrically connected with the first plane by a conductive Via that passes through the dielectric layer.",1,36,11,241,0.305555555555556,36,0.405714285714286,135.971571428571,3.23742857142857,14.5222222222222,22.0761359159421,23.6219444444444,28.1008333333333,NA,1
"6",12174479,6,"The integrated circuit package of Claim 5 wherein the dielectric layer is formed of a low-K dielectric material.",1,18,5,112,0.277777777777778,18,0.182857142857143,173.095285714286,-6.41228571428571,7.31111111111111,15.9031890086143,20.8322222222222,16.8766666666667,NA,1
"7",12174479,7,"The integrated circuit package of Claim 5 wherein the ﬁrst plane comprises a ground plane and wherein the supplemental plane and the second plane each comprise a power plane.",1,29,5,176,0.172413793103448,29,0.291428571428571,152.745142857143,-0.841142857142856,11.6689655172414,15.9031890086143,19.9358620689655,21.6548275862069,NA,1
"8",12174479,8,"The integrated circuit package of Claim 5 wherein the first plane comprises a power plane and wherein the supplemental plane and the second plane each comprise a ground plane.",1,29,5,175,0.172413793103448,29,0.291428571428571,152.745142857143,-0.841142857142856,11.6689655172414,15.9031890086143,19.7327586206897,21.4924137931034,NA,1
"9",12174479,9,"The integrated circuit package of Claim 5 wherein the first plane includes via straps formed on the upper package layer surface. the via straps are electrically connected with the internal signal plane by at least one conductive via that passes through a portion of the multi-layer package substrate to connect with the internal signal plane; wherein the supplemental plane includes bond pads that are electrically connected with the Via straps of the first plane by conductive vias that pass through the dielectric layer to connect the bond pads with the via straps.",2,92,19,567,0.206521739130435,46,0.897142857142857,84.2467142857143,12.9362857142857,18.4826086956522,20.7369665658279,20.4938043478261,30.5979347826087,NA,1
"10",12174479,10,"The integrated circuit package of Claim 9 wherein the ﬁrst plane comprises a ground plane and wherein the supplemental plane comprises a power plane.",1,24,5,151,0.208333333333333,24,0.251428571428571,161.204142857143,-3.26314285714286,9.68333333333333,15.9031890086143,21.2454166666667,20.20375,NA,1
"11",12174479,11,"The integrated circuit package of Claim 10 wherein bond pads of the power plane comprise die attach bond pads for electrical connection with an associated integrated circuit die.",1,28,7,178,0.25,28,0.297142857142857,153.276714285714,-1.16371428571429,11.3,18.2436059462756,21.6328571428571,22.5121428571429,NA,1
"12",12174479,12,"The integrated circuit package of Claim ll further comprising an integrated circuit die mounted to the die attach bond pads of the package.",1,23,5,139,0.217391304347826,23,0.228571428571429,164.152857142857,-3.92285714285714,9.28695652173913,15.9031890086143,19.7830434782609,18.5347826086957,NA,1
"13",12174479,13,"An integrated circuit package comprising: a multi—layer package substrate configured for use without decoupling capacitors and arranged in a stripline configuration with a plurality of striplines, each stripline having at least one signal plane positioned between an associated pair of reference planes. the multi—layer package having an upper package surface and a lower package surface configured so that the upper package surface has a ﬁrst plane formed thereon wherein the ﬁrst plane comprises a reference plane of a ﬁrst stripline and the lower package surface having a second plane formed thereon wherein the second plane comprises one of a reference plane of a second stripline; a first dielectric layer formed over the upper package surface and first plane; a second dielectric layer formed over the lower package surface and second plane; a first supplemental plane formed on a top surface of the first dielectric layer, the first supplemental plane having a polarity opposite of the first plane, the ﬁrst supplemental plane being configured to include a decoupling capacitor; a second supplemental plane formed on a bottom surface of the second dielectric layer. the second supplemental plane having a polarity opposite of the second plane; and at least one decoupling capacitive element.",3,201,61,1310,0.303482587064677,67,2.32,-57.442,37.916,26.9213930348259,28.8892997274866,22.5830845771144,42.7670149253731,NA,1
"14",12174479,14,"An integrated circuit package as in Claim 13 wherein the at least one decoupling capacitive element includes a discrete capacitor mounted to the first supplemental plane.",1,26,9,170,0.346153846153846,26,0.308571428571429,154.339857142857,-1.80885714285714,10.5384615384615,20.2673388243366,22.7,22.3661538461538,NA,1
"15",12174479,15,"An integrated circuit package as in Claim 13 wherein the first dielectric layer comprises the at least one decoupling capacitive element and wherein the ﬁrst dielectric layer comprises a layer of high—K dielectric material.",1,34,11,227,0.323529411764706,34,0.36,141.869,1.918,13.7294117647059,22.0761359159421,23.5155882352941,27.0161764705882,NA,1
"16",12174479,16,"An integrated circuit package as in Claim 13 wherein the first dielectric layer comprises the at least one decoupling capacitive element and wherein the ﬁrst dielectric layer comprises a layer of low—K dielectric material. Claim",2,35,11,232,0.314285714285714,17.5,0.365714285714286,158.133071428571,-4.44957142857143,7.12571428571429,16.5266775795477,23.2251428571429,18.5405714285714,NA,1
"17",12174479,17,"An integrated circuit package as in Claim 14 wherein: the first plane comprises a ground plane of the first stripline wherein the second plane comprises a power plane of the second stripline; wherein the first supplemental plane comprises a power plane; and wherein the second supplemental plane comprises a ground plane.",1,51,10,321,0.196078431372549,51,0.525714285714286,110.594571428571,10.5034285714286,20.478431372549,21.1943899229434,21.2664705882353,33.7152941176471,NA,1
"18",12174479,18,"A method of forming an integrated circuit package with a decoupling capacitor using a package design configured for use without decoupling capacitor, the method comprising: providing an initial design for an integrated circuit package substrate wherein the design is configured for a package that does not use decoupling capacitors; forming a multi—layer package substrate in accordance with the initial design, wherein the formed substrate is arranged in a stripline configuration including at least two reference planes and an internal signal plane, and an upper package surface having a first plane formed thereon, the first plane comprising one of the reference planes and an array of bond pads that are electrically connected with the internal signal plane; forming a ﬁrst dielectric layer over the upper package surface wherein the ﬁrst dielectric layer includes an array of conductive vias formed therein, the vi as formed in registry with the array of bond pads of the upper package surface; forming a supplemental plane on a top surface of the ﬁrst dielectric layer, the supplemental plane having a polarity opposite of the first plane, the supplemental plane further including an array of top bond pads arranged in registry with the array of vias; and forming at least one decoupling capacitive element such that the capacitive element is electrically connected with the ﬁrst plane and the supplemental plane.",1,223,64,1429,0.286995515695067,223,2.47428571428571,-228.834571428571,100.576571428571,89.314798206278,48.8310701982311,21.942197309417,120.25201793722,NA,1
"19",12174479,19,"The method of Claim | 8 wherein forming the at least one decoupling capacitive element comprises mounting a decoupling capacitor on the top surface of the first dielectric layer such that the capacitor is electrically connected with the first plane and the supplemental plane. ",2,44,12,277,0.272727272727273,22,0.468571428571429,144.863857142857,-1.48085714285714,8.90909090909091,17.1224134031937,21.2665909090909,19.2215909090909,NA,1
