Application_Id,Claim_Id,Claim_text,No_sentences,No_words,No_complex_words,No_characters,Percent_complex_words,Av_w_sentence,Av_syllable_w,Flesch_Kincaid_Reading,Flesch_Kincaid_Grade,Gunning_Fog,SMOG,Coleman_Liau,ARI,Lexical_density,Granted
12174479,1,"An integrated circuit package comprising: a multi—layer package substrate including a pair of references planes that include a power plane and a ground plane and an internal signal plane arranged between the power and ground plane. the multi—layer package originally designed for use without decoupling capacitors and having an upper package surface having a first plane formed thereon. the first plane comprising one of the power plane or the ground plane and including a second plane comprising an other of the power plane and the ground plane; a dielectric layer formed over the upper package surface and first plane; a supplemental plane formed on a top surface of the dielectric layer. the supplemental plane having a polarity opposite of the first plane and having the same polarity as the second plane, the supplemental plane being configured to include a decoupling capacitor; and at least one decoupling capacitor mounted to the supplemental plane and having electrical connections that electrically connect the capacitor with the supplemental plane and the first plane without passing through the signal plane.",,,,,,,,,,,,,,,1
12174479,2,The integrated circuit package of Claim 1 wherein the dielectric layer comprises the at least one decoupling capacitor.,,,,,,,,,,,,,,,1
12174479,3,The integrated circuit package of Claim 2 wherein the dielectric layer comprises a highrK dielectiic material.,,,,,,,,,,,,,,,1
12174479,4,The integrated circuit package of Claim 2 wherein the dielectric layer comprises a low—K dielectric material.,,,,,,,,,,,,,,,1
12174479,5,The integrated circuit package of Claim 1 wherein the supplemental plane is electrically connected with a decoupling capacitor which is electrically connected with the first plane by a conductive Via that passes through the dielectric layer.,,,,,,,,,,,,,,,1
12174479,6,The integrated circuit package of Claim 5 wherein the dielectric layer is formed of a low-K dielectric material.,,,,,,,,,,,,,,,1
12174479,7,The integrated circuit package of Claim 5 wherein the ﬁrst plane comprises a ground plane and wherein the supplemental plane and the second plane each comprise a power plane.,,,,,,,,,,,,,,,1
12174479,8,The integrated circuit package of Claim 5 wherein the first plane comprises a power plane and wherein the supplemental plane and the second plane each comprise a ground plane.,,,,,,,,,,,,,,,1
12174479,9,The integrated circuit package of Claim 5 wherein the first plane includes via straps formed on the upper package layer surface. the via straps are electrically connected with the internal signal plane by at least one conductive via that passes through a portion of the multi-layer package substrate to connect with the internal signal plane; wherein the supplemental plane includes bond pads that are electrically connected with the Via straps of the first plane by conductive vias that pass through the dielectric layer to connect the bond pads with the via straps.,,,,,,,,,,,,,,,1
12174479,10,The integrated circuit package of Claim 9 wherein the ﬁrst plane comprises a ground plane and wherein the supplemental plane comprises a power plane.,,,,,,,,,,,,,,,1
